Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;baseload;ELECTRICITY;11857.46855;18262.4554;33410.38197;0;[GWh]
Electricity;variable;ELECTRICITY_VAR;10000;10000;10000;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;81328.06621;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;60617.69909;32886.55902;12643.01674;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;11596.68903;9802.958334;9234.275631;0;[GWh]
Cold;low temperature;PROCESS_COOLING;0;0;10428.45915;0;[GWh]
Cold;space cooling;SPACE_COOLING;1314.184486;3803.356348;309.6656761;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;151204.7584;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;84701.50899;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;53483.52157;0;[GWh]
