Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																0.000000		1.174423															-0.000000																																																																							0.000000																								-0.000000																																															-0.002482	0.002389													-1.174330	
 1 	 2																0.000000		1.174465															-0.000000																																																																							0.000000																								-0.000000																																															-0.002503	0.002369													-1.174330	
 1 	 3																0.000000		1.174521															-0.000000																																																																							0.000000																								-0.000000																																															-0.002532	0.002341													-1.174330	
 1 	 4																0.000000		1.174563															-0.000000																																																																							0.000000																								-0.000000																																															-0.002553	0.002320													-1.174330	
 1 	 5																0.000000		1.174442															-0.000000																																																																							0.000000																								-0.000000																																															-0.002491	0.002379													-1.174330	
 1 	 6																0.000000		1.174370															-0.000000																																																																							0.000000																								-0.000000																																															-0.002455	0.002415													-1.174330	
 1 	 7																0.000000		1.174332															-0.000000																																																																							0.000000																								-0.000000																																															-0.002435	0.002433													-1.174330	
 1 	 8																0.000000		1.174159															-0.000000																																																																							0.000000																								-0.000000																																															-0.002353	0.002524													-1.174330	
 1 	 9																0.000000		1.174211															-0.000000																																																																							0.000000																								-0.000000																																															-0.002378	0.002497													-1.174330	
 1 	 10																0.000000		1.174188															-0.000000																																																																							0.000000																								-0.000000																																															-0.002365	0.002508													-1.174330	
 1 	 11																0.000000		1.174227															-0.000000																																																																							0.000000																								-0.000000																																															-0.002384	0.002487													-1.174330	
 1 	 12																0.000000		1.174212															-0.000000																																																																							0.000000																								-0.000000																																															-0.002376	0.002494													-1.174330	
 1 	 13																0.000000		1.174204															-0.000000																																																																							0.000000																								-0.000000																																															-0.002372	0.002499													-1.174330	
 1 	 14																0.000000		1.174215															-0.000000																																																																							0.000000																								-0.000000																																															-0.002378	0.002493													-1.174330	
 1 	 15																0.000000		1.174242															-0.000000																																																																							0.000000																								-0.000000																																															-0.002391	0.002480													-1.174330	
 1 	 16																0.000000		1.174241															-0.000000																																																																							0.000000																								-0.000000																																															-0.002391	0.002480													-1.174330	
 1 	 17																0.000000		1.174248															-0.000000																																																																							0.000000																								-0.000000																																															-0.002393	0.002475													-1.174330	
 1 	 18																0.000000		1.174303															-0.000000																																																																							0.000000																								-0.000000																																															-0.002420	0.002447													-1.174330	
 1 	 19																0.000000		1.174335															-0.000000																																																																							0.000000																								-0.000000																																															-0.002435	0.002430													-1.174330	
 1 	 20																0.000000		1.174376															-0.000000																																																																							0.000000																								-0.000000																																															-0.002457	0.002412													-1.174330	
 1 	 21																0.000000		1.174406															-0.000000																																																																							0.000000																								-0.000000																																															-0.002474	0.002398													-1.174330	
 1 	 22																0.000000		1.174428															-0.000000																																																																							0.000000																								-0.000000																																															-0.002485	0.002387													-1.174330	
 1 	 23																0.000000		1.174446															-0.000000																																																																							0.000000																								-0.000000																																															-0.002494	0.002378													-1.174330	
 1 	 24																0.000000		1.174546															-0.000000																																																																							0.000000																								-0.000000																																															-0.002545	0.002330													-1.174330	
 2 	 1																0.000001		1.174261															-0.000002																																																																							0.000000																								-0.000000																																															-0.002401	0.002472													-1.174330	
 2 	 2																0.000001		1.174261															-0.000002																																																																							0.000000																								-0.000000																																															-0.002401	0.002472													-1.174330	
 2 	 3																0.000001		1.174264															-0.000002																																																																							0.000000																								-0.000000																																															-0.002402	0.002470													-1.174330	
 2 	 4																0.000001		1.174258															-0.000002																																																																							0.000000																								-0.000000																																															-0.002400	0.002473													-1.174330	
 2 	 5																0.000001		1.174260															-0.000002																																																																							0.000000																								-0.000000																																															-0.002401	0.002472													-1.174330	
 2 	 6																0.000001		1.174263															-0.000002																																																																							0.000000																								-0.000000																																															-0.002402	0.002471													-1.174330	
 2 	 7																0.000001		1.174246															-0.000002																																																																							0.000000																								-0.000000																																															-0.002394	0.002480													-1.174330	
 2 	 8																0.000001		1.174243															-0.000002																																																																							0.000000																								-0.000000																																															-0.002392	0.002481													-1.174330	
 2 	 9																0.000001		1.174254															-0.000002																																																																							0.000000																								-0.000000																																															-0.002398	0.002475													-1.174330	
 2 	 10																0.000001		1.174257															-0.000002																																																																							0.000000																								-0.000000																																															-0.002399	0.002474													-1.174330	
 2 	 11																0.000001		1.174261															-0.000002																																																																							0.000000																								-0.000000																																															-0.002401	0.002472													-1.174330	
 2 	 12																0.000001		1.174266															-0.000002																																																																							0.000000																								-0.000000																																															-0.002403	0.002469													-1.174330	
 2 	 13																0.000001		1.174266															-0.000002																																																																							0.000000																								-0.000000																																															-0.002403	0.002469													-1.174330	
 2 	 14																0.000001		1.174262															-0.000001																																																																							0.000000																								-0.000000																																															-0.002402	0.002471													-1.174330	
 2 	 15																0.000001		1.174253															-0.000001																																																																							0.000000																								-0.000000																																															-0.002398	0.002475													-1.174330	
 2 	 16																0.000001		1.174259															-0.000001																																																																							0.000000																								-0.000000																																															-0.002401	0.002472													-1.174330	
