Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1													0.000168																																				-0.000000					-0.000167					-0.000000																																																																																																																																		0.000000	
 1 	 2													1.719034																																				-0.000000					-1.719034					-0.000000																																																																																																																																		0.000000	
 1 	 3													2.043862																																				-0.000000					-2.043861					-0.000000																																																																																																																																		0.000000	
 1 	 4													2.031018																																				-0.000000					-2.031017					-0.000000																																																																																																																																		0.000000	
 1 	 5													2.031155																																				-0.000000					-2.031154					-0.000000																																																																																																																																		0.000000	
 1 	 6													2.032390																																				-0.000000					-2.032390					-0.000000																																																																																																																																		0.000000	
 1 	 7													2.032197																																				-0.000000					-2.032197					-0.000000																																																																																																																																		0.000000	
 1 	 8													2.033224																																				-0.000000					-2.033223					-0.000000																																																																																																																																		0.000000	
 1 	 9													2.042323																																				-0.000000					-2.042322					-0.000000																																																																																																																																		0.000000	
 1 	 10													2.035526																																				-0.000000					-2.035525					-0.000000																																																																																																																																		0.000000	
 1 	 11													2.035956																																				-0.000000					-2.035956					-0.000000																																																																																																																																		0.000000	
 1 	 12													2.035959																																				-0.000000					-2.035959					-0.000000																																																																																																																																		0.000000	
 1 	 13													2.036104																																				-0.000000					-2.036103					-0.000000																																																																																																																																		0.000000	
 1 	 14													2.036249																																				-0.000000					-2.036248					-0.000000																																																																																																																																		0.000000	
 1 	 15													2.036116																																				-0.000000					-2.036116					-0.000000																																																																																																																																		0.000000	
 1 	 16													2.036674																																				-0.000000					-2.036674					-0.000000																																																																																																																																		0.000000	
 1 	 17													2.036866																																				-0.000000					-2.036865					-0.000000																																																																																																																																		0.000000	
 1 	 18													2.388676																																				-0.000000					-2.388676					-0.000000																																																																																																																																		0.000000	
 1 	 19													2.388726																																				-0.000000					-2.388726					-0.000000																																																																																																																																		0.000000	
 1 	 20													2.388741																																				-0.000000					-2.388741					-0.000000																																																																																																																																		0.000000	
 1 	 21													2.388749																																				-0.000000					-2.388748					-0.000000																																																																																																																																		0.000000	
 1 	 22													2.388753																																				-0.000000					-2.388753					-0.000000																																																																																																																																		0.000000	
 1 	 23													2.388756																																				-0.000000					-2.388755					-0.000000																																																																																																																																		0.000000	
 1 	 24													2.388758																																				-0.000000					-2.388758					-0.000000																																																																																																																																		0.000000	
 2 	 1													0.000840																																				-0.000000					-0.000839					-0.000000																																																																																																																																		0.000000	
 2 	 2													1.640937																																				-0.000000					-1.640936					-0.000000																																																																																																																																		0.000000	
 2 	 3													2.031613																																				-0.000000					-2.031612					-0.000000																																																																																																																																		0.000000	
 2 	 4													2.031030																																				-0.000000					-2.031029					-0.000000																																																																																																																																		0.000000	
 2 	 5													2.030860																																				-0.000000					-2.030859					-0.000000																																																																																																																																		0.000000	
 2 	 6													2.030758																																				-0.000000					-2.030758					-0.000000																																																																																																																																		0.000000	
 2 	 7													2.030530																																				-0.000000					-2.030529					-0.000000																																																																																																																																		0.000000	
 2 	 8													2.030257																																				-0.000000					-2.030256					-0.000000																																																																																																																																		0.000000	
 2 	 9													2.029955																																				-0.000000					-2.029954					-0.000000																																																																																																																																		0.000000	
 2 	 10													2.029654																																				-0.000000					-2.029653					-0.000000																																																																																																																																		0.000000	
 2 	 11													2.029350																																				-0.000000					-2.029349					-0.000000																																																																																																																																		0.000000	
 2 	 12													2.029010																																				-0.000000					-2.029009					-0.000000																																																																																																																																		0.000000	
 2 	 13													2.028656																																				-0.000000					-2.028655					-0.000000																																																																																																																																		0.000000	
 2 	 14													2.028149																																				-0.000000					-2.028148					-0.000000																																																																																																																																		0.000000	
 2 	 15													2.027849																																				-0.000000					-2.027848					-0.000000																																																																																																																																		0.000000	
 2 	 16													2.027918																																				-0.000000					-2.027917					-0.000000																																																																																																																																		0.000000	
 2 	 17													2.030824																																				-0.000000					-2.030823					-0.000000																																																																																																																																		0.000000	
 2 	 18													2.387309																																				-0.000000					-2.387308					-0.000000																																																																																																																																		0.000000	
 2 	 19													2.388025																																				-0.000000					-2.388024					-0.000000																																																																																																																																		0.000000	
 2 	 20													2.388263																																				-0.000000					-2.388262					-0.000000																																																																																																																																		0.000000	
 2 	 21													2.388384																																				-0.000000					-2.388383					-0.000000																																																																																																																																		0.000000	
 2 	 22													2.388457																																				-0.000000					-2.388457					-0.000000																																																																																																																																		0.000000	
 2 	 23													2.388507																																				-0.000000					-2.388506					-0.000000																																																																																																																																		0.000000	
 2 	 24													2.388542																																				-0.000000					-2.388542					-0.000000																																																																																																																																		0.000000	
 3 	 1													0.000244																																				-0.000000					-0.000244					-0.000000																																																																																																																																		0.000000	
 3 	 2													1.657668																																				-0.000000					-1.657667					-0.000000																																																																																																																																		0.000000	
 3 	 3													2.031490																																				-0.000000					-2.031489					-0.000000																																																																																																																																		0.000000	
