Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1											4.028832																								-0.000008																		-4.028824																																																																																																																																								0.000000	
 1 	 2											4.028361																								-0.000008																		-4.028353																																																																																																																																								0.000000	
 1 	 3											4.027260																								-0.000008																		-4.027252																																																																																																																																								0.000000	
 1 	 4											4.028671																								-0.000008																		-4.028663																																																																																																																																								0.000000	
 1 	 5											4.028735																								-0.000008																		-4.028728																																																																																																																																								0.000000	
 1 	 6											4.028724																								-0.000008																		-4.028716																																																																																																																																								0.000000	
 1 	 7											4.027848																								-0.000008																		-4.027839																																																																																																																																								0.000000	
 1 	 8											4.028891																								-0.000008																		-4.028883																																																																																																																																								0.000000	
 1 	 9											4.027470																								-0.000008																		-4.027462																																																																																																																																								0.000000	
 1 	 10											4.028776																								-0.000008																		-4.028768																																																																																																																																								0.000000	
 1 	 11											4.028765																								-0.000008																		-4.028757																																																																																																																																								0.000000	
 1 	 12											4.028766																								-0.000008																		-4.028758																																																																																																																																								0.000000	
 1 	 13											4.028683																								-0.000008																		-4.028675																																																																																																																																								0.000000	
 1 	 14											4.028644																								-0.000008																		-4.028636																																																																																																																																								0.000000	
 1 	 15											4.028618																								-0.000008																		-4.028611																																																																																																																																								0.000000	
 1 	 16											4.028616																								-0.000008																		-4.028608																																																																																																																																								0.000000	
 1 	 17											4.028654																								-0.000008																		-4.028646																																																																																																																																								0.000000	
 1 	 18											4.028651																								-0.000008																		-4.028643																																																																																																																																								0.000000	
 1 	 19											4.028625																								-0.000008																		-4.028617																																																																																																																																								0.000000	
 1 	 20											4.028636																								-0.000008																		-4.028628																																																																																																																																								0.000000	
 1 	 21											4.028695																								-0.000008																		-4.028687																																																																																																																																								0.000000	
 1 	 22											4.028739																								-0.000008																		-4.028731																																																																																																																																								0.000000	
 1 	 23											4.028779																								-0.000008																		-4.028771																																																																																																																																								0.000000	
 1 	 24											4.028760																								-0.000008																		-4.028752																																																																																																																																								0.000000	
 2 	 1											4.038451																								-0.000008																		-4.038444																																																																																																																																								0.000000	
 2 	 2											4.037325																								-0.000008																		-4.037318																																																																																																																																								0.000000	
 2 	 3											4.035794																								-0.000008																		-4.035787																																																																																																																																								0.000000	
 2 	 4											4.037246																								-0.000008																		-4.037238																																																																																																																																								0.000000	
 2 	 5											4.037228																								-0.000008																		-4.037220																																																																																																																																								0.000000	
 2 	 6											4.037149																								-0.000008																		-4.037141																																																																																																																																								0.000000	
 2 	 7											4.037098																								-0.000008																		-4.037090																																																																																																																																								0.000000	
 2 	 8											4.037118																								-0.000008																		-4.037110																																																																																																																																								0.000000	
 2 	 9											4.037092																								-0.000008																		-4.037085																																																																																																																																								0.000000	
 2 	 10											4.037070																								-0.000008																		-4.037062																																																																																																																																								0.000000	
 2 	 11											4.037068																								-0.000008																		-4.037061																																																																																																																																								0.000000	
 2 	 12											4.037058																								-0.000008																		-4.037050																																																																																																																																								0.000000	
 2 	 13											4.037039																								-0.000007																		-4.037031																																																																																																																																								0.000000	
 2 	 14											4.037455																								-0.000006																		-4.037449																																																																																																																																								0.000000	
 2 	 15											4.037446																								-0.000006																		-4.037440																																																																																																																																								0.000000	
 2 	 16											4.037432																								-0.000006																		-4.037426																																																																																																																																								0.000000	
 2 	 17											4.037000																								-0.000008																		-4.036993																																																																																																																																								0.000000	
 2 	 18											4.037000																								-0.000008																		-4.036993																																																																																																																																								0.000000	
 2 	 19											4.037003																								-0.000008																		-4.036995																																																																																																																																								0.000000	
 2 	 20											4.037007																								-0.000008																		-4.036999																																																																																																																																								0.000000	
 2 	 21											4.037001																								-0.000008																		-4.036993																																																																																																																																								0.000000	
 2 	 22											4.036979																								-0.000008																		-4.036971																																																																																																																																								0.000000	
 2 	 23											4.036892																								-0.000008																		-4.036884																																																																																																																																								0.000000	
 2 	 24											4.035598																								-0.000008																		-4.035590																																																																																																																																								0.000000	
 3 	 1											4.032743																								-0.000008																		-4.032735																																																																																																																																								0.000000	
 3 	 2											4.032778																								-0.000008																		-4.032770																																																																																																																																								0.000000	
 3 	 3											4.032939																								-0.000008																		-4.032931																																																																																																																																								0.000000	
 3 	 4											4.032851																								-0.000008																		-4.032842																																																																																																																																								0.000000	
 3 	 5											4.032908																								-0.000008																		-4.032899																																																																																																																																								0.000000	
 3 	 6											4.032972																								-0.000008																		-4.032963																																																																																																																																								0.000000	
 3 	 7											4.032811																								-0.000008																		-4.032802																																																																																																																																								0.000000	
 3 	 8											4.032961																								-0.000008																		-4.032953																																																																																																																																								0.000000	
 3 	 9											4.032890																								-0.000008																		-4.032881																																																																																																																																								0.000000	
 3 	 10											4.033002																								-0.000008																		-4.032994																																																																																																																																								0.000000	
 3 	 11											4.033844																								-0.000007																		-4.033837																																																																																																																																								0.000000	
