Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																																																																																																									4.007306	0.000000	0.747335	0.000001																																																																																	-4.754642	
 1 	 2																																																																																																									4.020852	0.000000	0.733789	0.000001																																																																																	-4.754642	
 1 	 3																																																																																																									4.008078	0.000000	0.746563	0.000001																																																																																	-4.754642	
 1 	 4																																																																																																									4.008500	0.000000	0.746141	0.000001																																																																																	-4.754642	
 1 	 5																																																																																																									4.008960	0.000000	0.745681	0.000001																																																																																	-4.754642	
 1 	 6																																																																																																									4.009462	0.000000	0.745179	0.000001																																																																																	-4.754642	
 1 	 7																																																																																																									4.029049	0.000000	0.725592	0.000001																																																																																	-4.754642	
 1 	 8																																																																																																									4.002734	0.000000	0.751906	0.000001																																																																																	-4.754642	
 1 	 9																																																																																																									4.002735	0.000000	0.751906	0.000001																																																																																	-4.754642	
 1 	 10																																																																																																									4.002735	0.000000	0.751906	0.000001																																																																																	-4.754642	
 1 	 11																																																																																																									4.002179	0.000000	0.752462	0.000001																																																																																	-4.754642	
 1 	 12																																																																																																									4.000845	0.000000	0.753796	0.000001																																																																																	-4.754642	
 1 	 13																																																																																																									4.000845	0.000000	0.753796	0.000001																																																																																	-4.754642	
 1 	 14																																																																																																									4.000845	0.000000	0.753796	0.000001																																																																																	-4.754642	
 1 	 15																																																																																																									4.002353	0.000000	0.752288	0.000001																																																																																	-4.754642	
 1 	 16																																																																																																									4.002402	0.000000	0.752239	0.000001																																																																																	-4.754642	
 1 	 17																																																																																																									4.002452	0.000000	0.752189	0.000001																																																																																	-4.754642	
 1 	 18																																																																																																									4.002504	0.000000	0.752136	0.000001																																																																																	-4.754642	
 1 	 19																																																																																																									4.002559	0.000000	0.752082	0.000001																																																																																	-4.754642	
 1 	 20																																																																																																									4.002616	0.000000	0.752025	0.000001																																																																																	-4.754642	
 1 	 21																																																																																																									4.002675	0.000000	0.751966	0.000001																																																																																	-4.754642	
 1 	 22																																																																																																									4.002737	0.000000	0.751904	0.000001																																																																																	-4.754642	
 1 	 23																																																																																																									4.002737	0.000000	0.751904	0.000001																																																																																	-4.754642	
 1 	 24																																																																																																									4.002867	0.000000	0.751774	0.000001																																																																																	-4.754642	
 2 	 1																																																																																																									4.028993	0.000000	0.725648	0.000001																																																																																	-4.754642	
 2 	 2																																																																																																									4.028993	0.000000	0.725647	0.000001																																																																																	-4.754642	
 2 	 3																																																																																																									4.028993	0.000000	0.725647	0.000001																																																																																	-4.754642	
 2 	 4																																																																																																									4.028993	0.000000	0.725647	0.000001																																																																																	-4.754642	
 2 	 5																																																																																																									4.029003	0.000000	0.725637	0.000001																																																																																	-4.754642	
 2 	 6																																																																																																									4.029003	0.000000	0.725638	0.000001																																																																																	-4.754642	
 2 	 7																																																																																																									4.029003	0.000000	0.725638	0.000001																																																																																	-4.754642	
 2 	 8																																																																																																									4.029003	0.000000	0.725638	0.000001																																																																																	-4.754642	
 2 	 9																																																																																																									4.029003	0.000000	0.725637	0.000001																																																																																	-4.754642	
 2 	 10																																																																																																									4.029003	0.000000	0.725638	0.000001																																																																																	-4.754642	
 2 	 11																																																																																																									4.028993	0.000000	0.725648	0.000001																																																																																	-4.754642	
 2 	 12																																																																																																									4.028993	0.000000	0.725648	0.000001																																																																																	-4.754642	
 2 	 13																																																																																																									4.028964	0.000000	0.725676	0.000001																																																																																	-4.754642	
 2 	 14																																																																																																									4.009999	0.000000	0.744642	0.000001																																																																																	-4.754642	
 2 	 15																																																																																																									4.009996	0.000000	0.744645	0.000001																																																																																	-4.754642	
 2 	 16																																																																																																									4.010000	0.000000	0.744640	0.000001																																																																																	-4.754642	
 2 	 17																																																																																																									4.028993	0.000000	0.725647	0.000001																																																																																	-4.754642	
 2 	 18																																																																																																									4.029004	0.000000	0.725637	0.000001																																																																																	-4.754642	
 2 	 19																																																																																																									4.029004	0.000000	0.725637	0.000001																																																																																	-4.754642	
 2 	 20																																																																																																									4.029004	0.000000	0.725637	0.000001																																																																																	-4.754642	
 2 	 21																																																																																																									4.029004	0.000000	0.725637	0.000001																																																																																	-4.754642	
 2 	 22																																																																																																									4.029004	0.000000	0.725637	0.000001																																																																																	-4.754642	
 2 	 23																																																																																																									4.029004	0.000000	0.725637	0.000001																																																																																	-4.754642	
 2 	 24																																																																																																									4.029004	0.000000	0.725637	0.000001																																																																																	-4.754642	
 3 	 1																																																																																																									4.029042	0.000000	0.725599	0.000001																																																																																	-4.754642	
 3 	 2																																																																																																									4.029042	0.000000	0.725599	0.000001																																																																																	-4.754642	
 3 	 3																																																																																																									4.029042	0.000000	0.725599	0.000001																																																																																	-4.754642	
 3 	 4																																																																																																									4.029042	0.000000	0.725599	0.000001																																																																																	-4.754642	
 3 	 5																																																																																																									4.029042	0.000000	0.725599	0.000001																																																																																	-4.754642	
