Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																						1.842773																		-1.201019	-0.641754																																																																																																																																																				0.000000	
 1 	 2																						2.294348																		-1.444119	-0.850229																																																																																																																																																				0.000000	
 1 	 3																						3.062021																		-2.045285	-1.016736																																																																																																																																																				0.000000	
 1 	 4																						3.618229																		-2.584089	-1.034139																																																																																																																																																				0.000000	
 1 	 5																						3.468419																		-2.452954	-1.015465																																																																																																																																																				0.000000	
 1 	 6																						3.355966																		-2.366729	-0.989237																																																																																																																																																				0.000000	
 1 	 7																						2.955704																		-2.254358	-0.701346																																																																																																																																																				0.000000	
 1 	 8																						3.623070																		-2.872788	-0.750282																																																																																																																																																				0.000000	
 1 	 9																						4.090061																		-3.207273	-0.882788																																																																																																																																																				0.000000	
 1 	 10																						4.960010																		-3.923500	-1.036510																																																																																																																																																				0.000000	
 1 	 11																						4.601088																		-3.579976	-1.021111																																																																																																																																																				0.000000	
 1 	 12																						4.896376																		-3.348198	-1.548178																																																																																																																																																				0.000000	
 1 	 13																						5.263431																		-3.124145	-2.139286																																																																																																																																																				0.000000	
 1 	 14																						4.702456																		-2.239127	-2.463329																																																																																																																																																				0.000000	
 1 	 15																						4.705892																		-1.729502	-2.976390																																																																																																																																																				0.000000	
 1 	 16																						6.038019																		-1.916933	-4.121085																																																																																																																																																				0.000000	
 1 	 17																						7.845363																		-2.745061	-5.100301																																																																																																																																																				0.000000	
 1 	 18																						9.531595																		-3.748548	-5.783047																																																																																																																																																				0.000000	
 1 	 19																						9.016124																		-4.112150	-4.903974																																																																																																																																																				0.000000	
 1 	 20																						9.982007																		-5.064002	-4.918005																																																																																																																																																				0.000000	
 1 	 21																						10.135297																		-5.303943	-4.831354																																																																																																																																																				0.000000	
 1 	 22																						9.359105																		-4.643636	-4.715469																																																																																																																																																				0.000000	
 1 	 23																						7.859647																		-3.616224	-4.243423																																																																																																																																																				0.000000	
 1 	 24																						5.454525																		-2.726453	-2.728072																																																																																																																																																				0.000000	
 2 	 1																						2.559828																		-1.208368	-1.351460																																																																																																																																																				0.000000	
 2 	 2																						1.667283																		-0.732896	-0.934387																																																																																																																																																				0.000000	
 2 	 3																						1.154231																		-0.477255	-0.676976																																																																																																																																																				0.000000	
 2 	 4																						1.017797																		-0.385307	-0.632490																																																																																																																																																				0.000000	
 2 	 5																						0.845038																		-0.290669	-0.554370																																																																																																																																																				0.000000	
 2 	 6																						0.753764																		-0.241192	-0.512572																																																																																																																																																				0.000000	
 2 	 7																						0.663014																		-0.201504	-0.461510																																																																																																																																																				0.000000	
 2 	 8																						0.577843																		-0.195186	-0.382657																																																																																																																																																				0.000000	
 2 	 9																						0.487628																		-0.177860	-0.309767																																																																																																																																																				0.000000	
 2 	 10																						0.415944																		-0.213482	-0.202462																																																																																																																																																				0.000000	
 2 	 11																						0.410877																		-0.200691	-0.210186																																																																																																																																																				0.000000	
 2 	 12																						0.422402																		-0.133387	-0.289015																																																																																																																																																				0.000000	
 2 	 13																						0.352340																		-0.109180	-0.243160																																																																																																																																																				0.000000	
 2 	 14																						0.174515																		-0.075716	-0.098799																																																																																																																																																				0.000000	
 2 	 15																						0.100532																		-0.063550	-0.036982																																																																																																																																																				0.000000	
 2 	 16																						0.124614																		-0.087632	-0.036982																																																																																																																																																				0.000000	
 2 	 17																						0.133660																		-0.096702	-0.036958																																																																																																																																																				0.000000	
 2 	 18																						0.164184																		-0.127226	-0.036958																																																																																																																																																				0.000000	
 2 	 19																						0.302367																		-0.265336	-0.037031																																																																																																																																																				0.000000	
 2 	 20																						0.641995																		-0.605013	-0.036982																																																																																																																																																				0.000000	
 2 	 21																						0.713107																		-0.676101	-0.037007																																																																																																																																																				0.000000	
 2 	 22																						0.739316																		-0.702309	-0.037007																																																																																																																																																				0.000000	
 2 	 23																						0.808214																		-0.771208	-0.037007																																																																																																																																																				0.000000	
 2 	 24																						0.680463																		-0.643481	-0.036982																																																																																																																																																				0.000000	
 3 	 1																						0.459641																		-0.425714	-0.033927																																																																																																																																																				0.000000	
 3 	 2																						0.377325																		-0.343398	-0.033927																																																																																																																																																				0.000000	
 3 	 3																						0.519908																		-0.485981	-0.033927																																																																																																																																																				0.000000	
 3 	 4																						0.642193																		-0.608266	-0.033927																																																																																																																																																				0.000000	
 3 	 5																						1.020181																		-0.986254	-0.033927																																																																																																																																																				0.000000	
 3 	 6																						1.096899																		-1.062972	-0.033927																																																																																																																																																				0.000000	
 3 	 7																						1.242827																		-1.208900	-0.033927																																																																																																																																																				0.000000	
 3 	 8																						1.297121																		-1.263194	-0.033927																																																																																																																																																				0.000000	
 3 	 9																						1.136149																		-1.102222	-0.033927																																																																																																																																																				0.000000	
 3 	 10																						0.968296																		-0.934369	-0.033927																																																																																																																																																				0.000000	
