source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,10.29,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.29,Ammonia,#000ECD,TWh
Wood,Gasifi. to Methanol,2.49,Wood,#CD853F,TWh
Gasifi. to Methanol,Elec,0.05,Electricity,#00BFFF,TWh
Gasifi. to Methanol,DHN,0.55,DHN,#FA8072,TWh
Gasifi. to Methanol,Methanol,1.55,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.55,Methanol,#CC0066,TWh
Oil,NSC,63.79,Naphtha,#8B008B,TWh
Elec,NSC,0.74,Electricity,#00BFFF,TWh
Heat HT,NSC,0.60,Heat HT,#DC143C,TWh
NSC,HVC,35.08,HVC,#00FFFF,TWh
Wood,Gasifi. to HVC,15.64,Wood,#CD853F,TWh
Elec,Gasifi. to HVC,0.19,Electricity,#00BFFF,TWh
Heat HT,Gasifi. to HVC,0.34,Heat HT,#DC143C,TWh
Gasifi. to HVC,HVC,6.57,HVC,#00FFFF,TWh
HVC,Non-energy demand,41.65,HVC,#00FFFF,TWh
Imp. Diesel,Diesel,10.03,Diesel,#D3D3D3,TWh
Diesel,Mob public,10.03,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,72.44,Gas,#FFD700,TWh
Imp. Gas RE,Gas sto.,0.00,GAS,#FFD700,TWh
Imp. Gas,Gas sto.,10.90,GAS,#FFD700,TWh
Gas sto.,Gas,10.68,GAS,#FFD700,TWh
Gas,Freight,37.48,GAS,#FFD700,TWh
Gas,Elec,10.94,GAS,#FFD700,TWh
Gas,CHP,34.54,GAS,#FFD700,TWh
Gas,HPs,12.22,GAS,#FFD700,TWh
Electricity,Elec,48.99,Electricity,#00BFFF,TWh
Wind,Elec,41.63,Wind,#27AE34,TWh
Hydro River,Elec,0.47,Hydro River,#0000FF,TWh
Coal,Boilers,33.30,Coal,#A0522D,TWh
Solar,Elec,23.37,Solar,#FFFF00,TWh
Solar,Elec,33.33,Solar,#FFFF00,TWh
CSP,Elec,0.00,Solar,#FFFF00,TWh
CSP,Elec,0.00,Solar,#FFFF00,TWh
Waste,Boilers,17.83,Waste,#808000,TWh
Imp. Oil,Oil,63.79,Oil,#8B008B,TWh
Wet biomass,Biomethanation,28.36,Wood,#CD853F,TWh
Biomethanation,Gas,12.00,GAS,#FFD700,TWh
Biomethanation,Elec,1.13,Electricity,#00BFFF,TWh
Elec,Mob priv,12.17,Electricity,#00BFFF,TWh
Elec,Mob public,2.45,Electricity,#00BFFF,TWh
Elec,Freight,1.45,Electricity,#00BFFF,TWh
Elec,Exp & Loss,7.88,Electricity,#00BFFF,TWh
Elec,Curt.,1.82,Electricity,#00BFFF,TWh
Elec,Elec demand,96.26,Electricity,#00BFFF,TWh
Solar,Curt.,3.31,Solar,#FFFF00,TWh
Wind,Curt.,1.33,Wind,#27AE34,TWh
Elec,Storage,1.36,Electricity,#00BFFF,TWh
Storage,Elec demand,1.02,Electricity,#00BFFF,TWh
Elec,HPs,31.63,Electricity,#00BFFF,TWh
Elec,refrig. cycles,5.18,Electricity,#00BFFF,TWh
Elec,HT sto,0.50,Electricity,#00BFFF,TWh
HT sto,Heat HT,0.50,Heat HT,#DC143C,TWh
Elec,Heat HT,4.56,Electricity,#00BFFF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,0.00,H2,#FF00FF,TWh
CHP,Elec,15.20,Electricity,#00BFFF,TWh
CHP,Heat HT,15.89,Heat HT,#DC143C,TWh
HPs,Dec. sto,17.77,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,67.31,Heat LT,#FA8072,TWh
HPs,DHN,37.52,Heat LT,#FA8072,TWh
refrig. cycles,PROCESS_COOLING,10.43,PROCESS_COOLING,#FA8072,TWh
Dec. sto,Heat LT Dec,16.53,Heat LT,#FA8072,TWh
Boilers,Heat HT,41.93,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,23.41,Heat LT,#FA8072,TWh
DHN,Loss DHN,1.90,Heat LT,#FA8072,TWh
DHN,DHN Sto,12.76,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,12.52,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,61.93,Heat HT,#DC143C,TWh
