TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.025393	0.000000
CCGT	0.001167	0.000028	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001660	0.955769	0.048263	0.000260
CCGT_AMMONIA	2200.607192	52.092509	25.000000	0.000000	2.664302	Infinity	0.000000	0.071730	1.000000	0.340285	0.590000	0.048263	489.672134
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.862792	0.036934	0.000000
COAL_IGCC	0.000638	0.000009	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000146	0.850864	0.036934	0.000063
PV_ROOFTOP	20033.623904	264.079590	25.000000	0.000000	27.150000	27.150000	0.000000	0.248526	1.000000	0.115699	1.000000	0.048263	56510.824496
PV_UTILITY	10749.666150	270.277359	25.000000	0.000000	32.050000	32.050000	0.000000	0.294372	1.000000	0.116090	1.000000	0.048263	66709.831497
PT_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
ST_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
WIND_ONSHORE	11419.600000	168.200000	30.000000	0.000000	10.000000	10.000000	0.000000	0.189154	1.000000	0.239079	1.000000	0.041639	6228.500000
WIND_OFFSHORE	32143.799998	311.231988	30.000000	0.000000	6.000000	6.000000	0.000000	0.191904	1.000000	0.404258	1.000000	0.041639	3737.100000
HYDRO_DAM	0.012112	0.000061	40.000000	0.000000	0.000003	0.001000	0.000000	0.000000	1.000000	0.000000	1.000000	0.033427	0.004881
HYDRO_RIVER	580.165799	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.004314	1.000000	0.474171	1.000000	0.033427	145.224300
TIDAL	0.000000	0.000000	40.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.033427	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
IND_COGEN_GAS	7560.074553	458.184093	25.000000	0.000000	4.947369	Infinity	0.000000	0.460490	1.000000	0.804381	0.844900	0.048263	5067.689003
IND_COGEN_WOOD	0.000476	0.000016	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000775	0.844900	0.048263	0.000067
IND_COGEN_WASTE	0.000491	0.000017	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000427	0.844900	0.048263	0.000100
IND_BOILER_GAS	0.000538	0.000009	17.000000	0.000000	0.000008	Infinity	0.000000	0.000000	1.000000	0.008968	0.944300	0.067080	0.000094
IND_BOILER_WOOD	306.282460	5.104530	17.000000	0.000000	2.215906	Infinity	0.000000	0.207037	1.000000	0.807445	0.894600	0.067080	63.973192
IND_BOILER_OIL	0.000283	0.000005	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.000484	0.944300	0.067080	0.000053
IND_BOILER_COAL	0.000302	0.000005	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000286	0.894600	0.067080	0.000105
IND_BOILER_WASTE	286.877520	4.781126	17.000000	0.000000	2.075514	Infinity	0.000000	0.193117	1.000000	0.804100	0.894600	0.067080	59.920084
IND_DIRECT_ELEC	5709.085838	22.198951	15.000000	0.000000	14.724385	Infinity	0.000000	0.139356	1.000000	0.081791	0.944300	0.074944	21.644846
DHN_HP_ELEC	2766.437165	83.857204	25.000000	0.000000	6.990719	Infinity	0.000000	1.000000	1.000000	0.622175	0.944300	0.048263	1221.907745
DHN_COGEN_GAS	0.000567	0.000016	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000595	0.844900	0.048263	0.000205
DHN_COGEN_WOOD	0.000323	0.000011	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000234	0.844900	0.048263	0.000046
DHN_COGEN_WASTE	0.000379	0.000013	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000180	0.844900	0.048263	0.000077
DHN_COGEN_WET_BIOMASS	0.000166	0.000026	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000185	0.745500	0.048263	0.000114
DHN_COGEN_BIO_HYDROLYSIS	0.000645	0.000029	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000910	0.844900	0.074944	0.000085
DHN_BOILER_GAS	0.000070	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000327	0.944300	0.067080	0.000012
DHN_BOILER_WOOD	0.000121	0.000002	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000341	0.894600	0.067080	0.000025
DHN_BOILER_OIL	0.000065	0.000001	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000207	0.944300	0.067080	0.000012
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.041639	0.000000
DHN_SOLAR	0.000437	0.000000	30.000000	0.000000	0.000001	111.780000	0.000000	0.000000	1.000000	0.000652	1.000000	0.041639	0.000254
DEC_HP_ELEC	12794.924817	476.896516	18.000000	0.000000	22.654706	Infinity	0.000000	1.000000	1.000000	0.430182	1.000000	0.063806	3735.534461
DEC_THHP_GAS	0.000704	0.000018	20.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.002367	1.000000	0.058246	0.000742
DEC_COGEN_GAS	0.000578	0.000035	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000656	1.000000	0.058246	0.000387
DEC_COGEN_OIL	0.000476	0.000028	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000223	1.000000	0.058246	0.000344
DEC_ADVCOGEN_GAS	0.001004	0.000020	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000311	1.000000	0.058246	0.000304
DEC_ADVCOGEN_H2	0.001053	0.000017	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000261	1.000000	0.058246	0.000251
DEC_BOILER_GAS	0.000531	0.000013	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.000548	1.000000	0.067080	0.000059
DEC_BOILER_WOOD	0.000562	0.000016	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000577	1.000000	0.067080	0.000021
DEC_BOILER_OIL	0.000422	0.000021	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000304	1.000000	0.067080	0.000052
DEC_SOLAR	0.004824	0.000052	20.000000	0.000000	0.000006	111.780000	0.000000	0.000000	1.000000	0.003128	1.000000	0.058246	0.001409
DEC_DIRECT_ELEC	0.000507	0.000002	15.000000	0.000000	0.000012	Infinity	0.000000	0.000000	1.000000	0.000419	1.000000	0.074944	0.000017
DEC_THHP_GAS_COLD	0.000364	0.000011	20.000000	0.000000	0.000001	Infinity	0.000000	0.133735	1.000000	0.001054	1.000000	0.058246	0.000410
DEC_ELEC_COLD	0.000926	0.000039	18.000000	0.000000	0.000002	Infinity	0.000000	0.866265	1.000000	0.006825	1.000000	0.063806	0.000289
IND_ELEC_COLD	833.286768	6.729251	20.000000	0.000000	1.253119	Infinity	0.000000	1.000000	1.000000	0.950000	0.950000	0.058246	219.032729
TRAMWAY_TROLLEY	0.000000	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.342466	0.041639	0.000000
BUS_COACH_DIESEL	8401.037253	444.160917	15.000000	0.000000	14.536175	Infinity	0.000000	0.500000	1.000000	0.296804	0.296804	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.296804	0.074944	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.296804	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.296804	0.074944	0.000000
TRAIN_PUB	60240.800000	2174.109974	40.000000	40.000000	40.000000	Infinity	0.000000	0.500000	0.500000	0.107860	0.275073	0.033427	0.000000
CAR_GASOLINE	0.000044	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000202	0.051370	0.108434	0.000000
CAR_DIESEL	0.000034	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000156	0.051370	0.108434	0.000000
CAR_NG	0.000039	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000118	0.051370	0.108434	0.000000
CAR_METHANOL	0.000029	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000335	0.051370	0.108434	0.000000
CAR_HEV	0.000035	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000228	0.051370	0.108434	0.000000
CAR_PHEV	0.013157	0.000980	10.000000	0.000000	0.000029	Infinity	0.000000	0.000000	1.000000	0.009182	0.051370	0.108434	0.000000
CAR_BEV	72871.969925	1679.735609	10.000000	0.000000	167.973561	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000053	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000192	0.051370	0.108434	0.000000
TRAIN_FREIGHT	737.042678	14.740230	40.000000	0.000000	7.058444	Infinity	0.000000	1.000000	1.000000	0.342466	0.342466	0.033427	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.114155	0.033427	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.114155	0.033427	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	40.000000	0.000000	0.000000	Infinity	0.000000	0.000000	0.000000	0.000000	0.114155	0.033427	0.000000
