Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																								3.225617																		-1.745469	-1.480149																																																																																																																																																		0.000000	
 1 	 2																								3.235698																		-1.755549	-1.480149																																																																																																																																																		0.000000	
 1 	 3																								3.245629																		-1.765480	-1.480149																																																																																																																																																		0.000000	
 1 	 4																								3.255590																		-1.775561	-1.480030																																																																																																																																																		0.000000	
 1 	 5																								3.265596																		-1.785566	-1.480030																																																																																																																																																		0.000000	
 1 	 6																								3.275676																		-1.795647	-1.480030																																																																																																																																																		0.000000	
 1 	 7																								3.285756																		-1.805727	-1.480030																																																																																																																																																		0.000000	
 1 	 8																								3.295568																		-1.815658	-1.479910																																																																																																																																																		0.000000	
 1 	 9																								3.305649																		-1.825738	-1.479910																																																																																																																																																		0.000000	
 1 	 10																								3.315654																		-1.835744	-1.479910																																																																																																																																																		0.000000	
 1 	 11																								3.325735																		-1.845824	-1.479910																																																																																																																																																		0.000000	
 1 	 12																								3.335586																		-1.855755	-1.479831																																																																																																																																																		0.000000	
 1 	 13																								3.345667																		-1.865836	-1.479831																																																																																																																																																		0.000000	
 1 	 14																								3.355747																		-1.875916	-1.479831																																																																																																																																																		0.000000	
 1 	 15																								3.365753																		-1.885922	-1.479831																																																																																																																																																		0.000000	
 1 	 16																								3.375714																		-1.896002	-1.479712																																																																																																																																																		0.000000	
 1 	 17																								3.385645																		-1.905933	-1.479712																																																																																																																																																		0.000000	
 1 	 18																								3.395726																		-1.916013	-1.479712																																																																																																																																																		0.000000	
 1 	 19																								3.405806																		-1.926094	-1.479712																																																																																																																																																		0.000000	
 1 	 20																								3.415732																		-1.936099	-1.479633																																																																																																																																																		0.000000	
 1 	 21																								3.425813																		-1.946180	-1.479633																																																																																																																																																		0.000000	
 1 	 22																								3.435744																		-1.956111	-1.479633																																																																																																																																																		0.000000	
 1 	 23																								3.445824																		-1.966191	-1.479633																																																																																																																																																		0.000000	
 1 	 24																								3.455711																		-1.976197	-1.479514																																																																																																																																																		0.000000	
 2 	 1																								1.489443																		-0.370860	-1.118583																																																																																																																																																		0.000000	
 2 	 2																								1.488845																		-0.369508	-1.119337																																																																																																																																																		0.000000	
 2 	 3																								1.488248																		-0.368157	-1.120091																																																																																																																																																		0.000000	
 2 	 4																								1.487730																		-0.366805	-1.120924																																																																																																																																																		0.000000	
 2 	 5																								1.487132																		-0.365454	-1.121678																																																																																																																																																		0.000000	
 2 	 6																								1.486549																		-0.364117	-1.122432																																																																																																																																																		0.000000	
 2 	 7																								1.485952																		-0.362766	-1.123186																																																																																																																																																		0.000000	
 2 	 8																								1.485434																		-0.361414	-1.124019																																																																																																																																																		0.000000	
 2 	 9																								1.484836																		-0.360063	-1.124773																																																																																																																																																		0.000000	
 2 	 10																								1.484253																		-0.358726	-1.125527																																																																																																																																																		0.000000	
 2 	 11																								1.483656																		-0.357375	-1.126281																																																																																																																																																		0.000000	
 2 	 12																								1.483177																		-0.356023	-1.127154																																																																																																																																																		0.000000	
 2 	 13																								1.482580																		-0.354672	-1.127908																																																																																																																																																		0.000000	
 2 	 14																								1.481942																		-0.353320	-1.128622																																																																																																																																																		0.000000	
 2 	 15																								1.481360																		-0.351983	-1.129376																																																																																																																																																		0.000000	
 2 	 16																								1.480881																		-0.350632	-1.130249																																																																																																																																																		0.000000	
 2 	 17																								1.480283																		-0.349280	-1.131003																																																																																																																																																		0.000000	
 2 	 18																								1.479686																		-0.347929	-1.131757																																																																																																																																																		0.000000	
 2 	 19																								1.479096																		-0.346585	-1.132511																																																																																																																																																		0.000000	
 2 	 20																								1.478585																		-0.345241	-1.133344																																																																																																																																																		0.000000	
 2 	 21																								1.477987																		-0.343889	-1.134098																																																																																																																																																		0.000000	
 2 	 22																								1.477390																		-0.342538	-1.134852																																																																																																																																																		0.000000	
 2 	 23																								1.476792																		-0.341186	-1.135606																																																																																																																																																		0.000000	
 2 	 24																								1.476281																		-0.339842	-1.136439																																																																																																																																																		0.000000	
 3 	 1																								1.367485																		-0.241958	-1.125527																																																																																																																																																		0.000000	
 3 	 2																								1.366153																		-0.241062	-1.125091																																																																																																																																																		0.000000	
 3 	 3																								1.364947																		-0.240174	-1.124773																																																																																																																																																		0.000000	
 3 	 4																								1.363654																		-0.239278	-1.124376																																																																																																																																																		0.000000	
 3 	 5																								1.362322																		-0.238382	-1.123940																																																																																																																																																		0.000000	
 3 	 6																								1.360996																		-0.237493	-1.123503																																																																																																																																																		0.000000	
 3 	 7																								1.359664																		-0.236597	-1.123067																																																																																																																																																		0.000000	
 3 	 8																								1.358339																		-0.235708	-1.122631																																																																																																																																																		0.000000	
 3 	 9																								1.357046																		-0.234812	-1.122234																																																																																																																																																		0.000000	
 3 	 10																								1.355833																		-0.233916	-1.121916																																																																																																																																																		0.000000	
