Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																						5.186086																		-5.186086																																																																																																																																																					0.000000	
 1 	 2																						5.186086																		-5.186086																																																																																																																																																					0.000000	
 1 	 3																						4.787146																		-4.787146																																																																																																																																																					0.000000	
 1 	 4																						4.388206																		-4.388206																																																																																																																																																					0.000000	
 1 	 5																						4.388206																		-4.388206																																																																																																																																																					0.000000	
 1 	 6																						4.986616																		-4.986616																																																																																																																																																					0.000000	
 1 	 7																						4.986616																		-4.986616																																																																																																																																																					0.000000	
 1 	 8																						4.986616																		-4.986616																																																																																																																																																					0.000000	
 1 	 9																						4.986616																		-4.986616																																																																																																																																																					0.000000	
 1 	 10																						4.953101																		-4.953101																																																																																																																																																					0.000000	
 1 	 11																						4.953101																		-4.953101																																																																																																																																																					0.000000	
 1 	 12																						4.986616																		-4.986616																																																																																																																																																					0.000000	
 1 	 13																						4.986616																		-4.986616																																																																																																																																																					0.000000	
 1 	 14																						4.986616																		-4.986616																																																																																																																																																					0.000000	
 1 	 15																						4.986616																		-4.986616																																																																																																																																																					0.000000	
 1 	 16																						4.986616																		-4.986616																																																																																																																																																					0.000000	
 1 	 17																						4.986616																		-4.986616																																																																																																																																																					0.000000	
 1 	 18																						5.186086																		-5.186086																																																																																																																																																					0.000000	
 1 	 19																						5.105053																		-5.105053																																																																																																																																																					0.000000	
 1 	 20																						5.014685																		-5.014685																																																																																																																																																					0.000000	
 1 	 21																						4.978837																		-4.978837																																																																																																																																																					0.000000	
 1 	 22																						5.026354																		-5.026354																																																																																																																																																					0.000000	
 1 	 23																						4.928596																		-4.928596																																																																																																																																																					0.000000	
 1 	 24																						4.897804																		-4.897804																																																																																																																																																					0.000000	
 2 	 1																						0.930708																		-0.930708																																																																																																																																																					0.000000	
 2 	 2																						0.878134																		-0.878134																																																																																																																																																					0.000000	
 2 	 3																						0.823161																		-0.823161																																																																																																																																																					0.000000	
 2 	 4																						0.721125																		-0.721125																																																																																																																																																					0.000000	
 2 	 5																						0.678664																		-0.678664																																																																																																																																																					0.000000	
 2 	 6																						0.569173																		-0.569173																																																																																																																																																					0.000000	
 2 	 7																						0.523989																		-0.523989																																																																																																																																																					0.000000	
 2 	 8																						0.374371																		-0.374371																																																																																																																																																					0.000000	
 2 	 9																						0.393883																		-0.393883																																																																																																																																																					0.000000	
 2 	 10																						0.167511																		-0.167511																																																																																																																																																					0.000000	
 2 	 11																						0.222029																		-0.222029																																																																																																																																																					0.000000	
 2 	 12																						0.427009																		-0.427009																																																																																																																																																					0.000000	
 2 	 13																						0.636592																		-0.636592																																																																																																																																																					0.000000	
 2 	 14																						0.827051																		-0.827051																																																																																																																																																					0.000000	
 2 	 15																						0.843841																		-0.843841																																																																																																																																																					0.000000	
 2 	 16																						1.004350																		-1.004350																																																																																																																																																					0.000000	
 2 	 17																						0.873855																		-0.873855																																																																																																																																																					0.000000	
 2 	 18																						0.531379																		-0.531379																																																																																																																																																					0.000000	
 2 	 19																						0.402440																		-0.402440																																																																																																																																																					0.000000	
 2 	 20																						0.409441																		-0.409441																																																																																																																																																					0.000000	
 2 	 21																						0.456959																		-0.456959																																																																																																																																																					0.000000	
 2 	 22																						0.525934																		-0.525934																																																																																																																																																					0.000000	
 2 	 23																						0.552448																		-0.552448																																																																																																																																																					0.000000	
 2 	 24																						0.614357																		-0.614357																																																																																																																																																					0.000000	
 3 	 1																						4.478250																		-4.478250																																																																																																																																																					0.000000	
 3 	 2																						4.499642																		-4.499642																																																																																																																																																					0.000000	
 3 	 3																						4.370703																		-4.370703																																																																																																																																																					0.000000	
 3 	 4																						4.278002																		-4.278002																																																																																																																																																					0.000000	
 3 	 5																						4.062131																		-4.062131																																																																																																																																																					0.000000	
 3 	 6																						3.864995																		-3.864995																																																																																																																																																					0.000000	
 3 	 7																						3.523751																		-3.523751																																																																																																																																																					0.000000	
 3 	 8																						3.237025																		-3.237025																																																																																																																																																					0.000000	
 3 	 9																						3.008319																		-3.008319																																																																																																																																																					0.000000	
 3 	 10																						3.108475																		-3.108475																																																																																																																																																					0.000000	
 3 	 11																						3.265095																		-3.265095																																																																																																																																																					0.000000	
 3 	 12																						3.070292																		-3.070292																																																																																																																																																					0.000000	
 3 	 13																						2.893771																		-2.893771																																																																																																																																																					0.000000	
 3 	 14																						2.556805																		-2.556805																																																																																																																																																					0.000000	
 3 	 15																						2.206550																		-2.206550																																																																																																																																																					0.000000	
 3 	 16																						1.935836																		-1.935836																																																																																																																																																					0.000000	
 3 	 17																						1.816621																		-1.816621																																																																																																																																																					0.000000	
 3 	 18																						1.676726																		-1.676726																																																																																																																																																					0.000000	
 3 	 19																						1.620263																		-1.620263																																																																																																																																																					0.000000	
 3 	 20																						1.582469																		-1.582469																																																																																																																																																					0.000000	
 3 	 21																						1.639322																		-1.639322																																																																																																																																																					0.000000	
 3 	 22																						1.547009																		-1.547009																																																																																																																																																					0.000000	
 3 	 23																						1.518162																		-1.518162																																																																																																																																																					0.000000	
 3 	 24																						1.468699																		-1.468699																																																																																																																																																					0.000000	
 4 	 1																						1.359273																		-1.359273																																																																																																																																																					0.000000	
 4 	 2																						1.292243																		-1.292243																																																																																																																																																					0.000000	
 4 	 3																						1.145736																		-1.145736																																																																																																																																																					0.000000	
 4 	 4																						0.982504																		-0.982504																																																																																																																																																					0.000000	
 4 	 5																						0.823550																		-0.823550																																																																																																																																																					0.000000	
 4 	 6																						0.776033																		-0.776033																																																																																																																																																					0.000000	
 4 	 7																						0.626414																		-0.626414																																																																																																																																																					0.000000	
 4 	 8																						0.574229																		-0.574229																																																																																																																																																					0.000000	
 4 	 9																						0.426231																		-0.426231																																																																																																																																																					0.000000	
 4 	 10																						0.164788																		-0.164788																																																																																																																																																					0.000000	
 4 	 11																						0.350255																		-0.350255																																																																																																																																																					0.000000	
 4 	 12																						0.488140																		-0.488140																																																																																																																																																					0.000000	
 4 	 13																						0.621358																		-0.621358																																																																																																																																																					0.000000	
 4 	 14																						0.764364																		-0.764364																																																																																																																																																					0.000000	
 4 	 15																						0.809159																		-0.809159																																																																																																																																																					0.000000	
 4 	 16																						1.117342																		-1.117342																																																																																																																																																					0.000000	
 4 	 17																						1.110276																		-1.110276																																																																																																																																																					0.000000	
 4 	 18																						0.906139																		-0.906139																																																																																																																																																					0.000000	
