Name	C_inv	C_maint	C_op
NUCLEAR	262.588045	219.654724	0.000000
CCGT	0.000085	0.000042	0.000000
CCGT_AMMONIA	0.000006	0.000003	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV_ROOFTOP	0.000008	0.000002	0.000000
PV_UTILITY	148.702487	77.466605	0.000000
PT_POWER_BLOCK	0.000000	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000	0.000000
WIND_ONSHORE	4.814600	1.703072	0.000000
WIND_OFFSHORE	0.000000	0.000000	0.000000
HYDRO_DAM	1134.570998	195.051200	0.000000
HYDRO_RIVER	640.820805	204.706000	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
GEOTHERMAL	0.000018	0.000007	0.000000
IND_COGEN_GAS	0.000015	0.000019	0.000000
IND_COGEN_WOOD	0.000008	0.000005	0.000000
IND_COGEN_WASTE	0.000007	0.000005	0.000000
IND_BOILER_GAS	7.936686	1.975392	0.000000
IND_BOILER_WOOD	6.136505	1.524628	0.000000
IND_BOILER_OIL	0.000005	0.000001	0.000000
IND_BOILER_COAL	0.000044	0.000011	0.000000
IND_BOILER_WASTE	0.000007	0.000002	0.000000
IND_DIRECT_ELEC	0.000008	0.000000	0.000000
DHN_HP_ELEC	19.235010	12.080742	0.000000
DHN_COGEN_GAS	0.000111	0.000063	0.000000
DHN_COGEN_WOOD	0.000006	0.000005	0.000000
DHN_COGEN_WASTE	0.000007	0.000005	0.000000
DHN_COGEN_WET_BIOMASS	0.000008	0.000025	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000013	0.000008	0.000000
DHN_BOILER_GAS	0.000005	0.000001	0.000000
DHN_BOILER_WOOD	0.000008	0.000002	0.000000
DHN_BOILER_OIL	0.000002	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000003	0.000000	0.000000
DEC_HP_ELEC	0.000017	0.000010	0.000000
DEC_THHP_GAS	344.240518	154.415237	0.000000
DEC_COGEN_GAS	0.000009	0.000010	0.000000
DEC_COGEN_OIL	0.000006	0.000006	0.000000
DEC_ADVCOGEN_GAS	0.000015	0.000005	0.000000
DEC_ADVCOGEN_H2	0.000011	0.000003	0.000000
DEC_BOILER_GAS	0.000013	0.000005	0.000000
DEC_BOILER_WOOD	0.000015	0.000006	0.000000
DEC_BOILER_OIL	0.000005	0.000003	0.000000
DEC_SOLAR	0.000059	0.000011	0.000000
DEC_DIRECT_ELEC	0.000005	0.000000	0.000000
DEC_THHP_GAS_COLD	0.000013	0.000006	0.000000
DEC_ELEC_COLD	0.000008	0.000005	0.000000
IND_ELEC_COLD	7.291160	1.010892	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	0.000000
BUS_COACH_DIESEL	608.141956	429.015978	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	2013.675348	2174.109974	0.000000
CAR_GASOLINE	0.000007	0.000003	0.000000
CAR_DIESEL	0.000004	0.000002	0.000000
CAR_NG	0.000002	0.000001	0.000000
CAR_METHANOL	0.000005	0.000002	0.000000
CAR_HEV	0.000001	0.000001	0.000000
CAR_PHEV	0.000395	0.000271	0.000000
CAR_BEV	7632.378013	1622.460379	0.000000
CAR_FUEL_CELL	0.000002	0.000000	0.000000
TRAIN_FREIGHT	11.625236	6.955281	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000	0.000000
TRUCK_METHANOL	0.000005	0.000003	0.000000
TRUCK_FUEL_CELL	0.000005	0.000002	0.000000
TRUCK_ELEC	0.000000	0.000000	0.000000
TRUCK_NG	983.991149	685.733653	0.000000
HABER_BOSCH	0.000029	0.000009	0.000000
OIL_TO_HVC	3.378770	0.210601	0.000000
GAS_TO_HVC	0.000007	0.000003	0.000000
BIOMASS_TO_HVC	0.000019	0.000005	0.000000
METHANOL_TO_HVC	0.000006	0.000007	0.000000
SYN_METHANOLATION	0.000012	0.000004	0.000000
METHANE_TO_METHANOL	0.393749	0.282339	0.000000
BIOMASS_TO_METHANOL	0.000018	0.000003	0.000000
DAM_STORAGE	0.000000	0.000000	0.000000
PHS	1129.150361	0.000000	0.000000
BATT_LI	0.000030	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000018	0.000002	0.000000
TS_DEC_HP_ELEC	0.000018	0.000002	0.000000
TS_DEC_THHP_GAS	56.729869	6.818474	0.000000
TS_DEC_COGEN_GAS	0.000018	0.000002	0.000000
TS_DEC_COGEN_OIL	0.000018	0.000002	0.000000
TS_DEC_ADVCOGEN_GAS	0.000018	0.000002	0.000000
