TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	10345.633549	219.757655	60.000000	2.134000	2.135000	2.135000	0.000000	0.189016	1.000000	0.850000	0.850000	0.025393	1511.323800
CCGT	0.000362	0.000009	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000353	0.955769	0.048263	0.000081
CCGT_AMMONIA	0.000352	0.000008	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000297	0.590000	0.048263	0.000078
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.862792	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850864	0.036934	0.000000
PV_ROOFTOP	3904.839501	51.472885	25.000000	0.000000	5.291923	15.000000	0.000000	0.062284	1.000000	0.113000	1.000000	0.048263	11014.767014
PV_UTILITY	3354.029999	84.329909	25.000000	0.000000	10.000000	10.000000	0.000000	0.117696	1.000000	0.113000	1.000000	0.048263	20814.299991
PT_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
ST_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
WIND_ONSHORE	6052.387998	89.146000	30.000000	0.000000	5.300000	5.300000	0.000000	0.126966	1.000000	0.230000	1.000000	0.041639	3301.104999
WIND_OFFSHORE	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.041639	0.000000
HYDRO_DAM	35789.956696	205.672792	40.000000	8.080000	8.520000	8.520000	0.000000	0.207653	1.000000	0.234000	1.000000	0.033427	14423.337060
HYDRO_RIVER	23458.877951	250.495499	40.000000	3.800000	4.650000	4.650000	0.000000	0.234413	1.000000	0.484000	1.000000	0.033427	5872.112988
TIDAL	0.000000	0.000000	40.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.033427	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000
GEOTHERMAL	6135.051988	99.590400	30.000000	0.000000	0.700000	0.700000	0.000000	0.061973	1.000000	0.850000	0.850000	0.041639	17450.362966
IND_COGEN_GAS	0.000278	0.000017	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000301	0.844900	0.048263	0.000187
IND_COGEN_WOOD	0.000446	0.000015	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001117	0.844900	0.048263	0.000063
IND_COGEN_WASTE	0.000478	0.000017	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000547	0.844900	0.048263	0.000097
IND_BOILER_GAS	0.000264	0.000004	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.000704	0.944300	0.067080	0.000046
IND_BOILER_WOOD	78.581736	1.309650	17.000000	0.000000	0.568527	Infinity	0.000000	0.172791	1.000000	0.666599	0.894600	0.067080	16.413361
IND_BOILER_OIL	0.000259	0.000005	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.000627	0.944300	0.067080	0.000048
IND_BOILER_COAL	18.932850	0.315537	17.000000	0.000000	0.136976	Infinity	0.000000	0.042722	1.000000	0.684074	0.894600	0.067080	6.599513
IND_BOILER_WASTE	205.638714	3.427193	17.000000	0.000000	1.487764	Infinity	0.000000	0.475535	1.000000	0.701041	0.894600	0.067080	42.951741
