Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1			0.000001		0.056756																																																																													-0.056904						-0.000000											-0.000000																										0.000000																																												-0.000881	0.001027																			0.000000	
 1 	 2			0.000001		0.022771																																																																													-0.022781						-0.000000											-0.000000																										0.000000																																												-0.000960	0.000969																			0.000000	
 1 	 3			0.000001		0.011465																																																																													-0.011342						-0.000000											-0.000000																										0.000000																																												-0.001043	0.000919																			0.000000	
 1 	 4			0.000001		0.136660																																																																													-0.136685						-0.000000											-0.000000																										0.000000																																												-0.000952	0.000977																			0.000000	
 1 	 5			0.000001		0.364543																																																																													-0.364494						-0.000000											-0.000000																										0.000000																																												-0.000994	0.000945																			0.000000	
 1 	 6			0.000001		0.911364																																																																													-0.911236						-0.000000											-0.000000																										0.000000																																												-0.001021	0.000893																			0.000000	
 1 	 7			0.000001		1.765486																																																																													-1.765278						-0.000000											-0.000000																										0.000000																																												-0.001065	0.000856																			0.000000	
 1 	 8			0.000001		1.537672																																																																													-1.537498						-0.000000											-0.000000																										0.000000																																												-0.001046	0.000871																			0.000000	
 1 	 9			0.000001		1.423761																																																																													-1.423613						-0.000000											-0.000000																										0.000000																																												-0.001030	0.000881																			0.000000	
 1 	 10			0.000001		1.594601																																																																													-1.594450						-0.000000											-0.000000																										0.000000																																												-0.001029	0.000877																			0.000000	
 1 	 11			0.000001		1.822379																																																																													-1.822220						-0.000000											-0.000000																										0.000000																																												-0.001030	0.000871																			0.000000	
 1 	 12			0.000001		2.004613																																																																													-2.004448						-0.000000											-0.000000																										0.000000																																												-0.001030	0.000865																			0.000000	
 1 	 13			0.000001		1.822357																																																																													-1.822220						-0.000000											-0.000000																										0.000000																																												-0.001016	0.000879																			0.000000	
 1 	 14			0.000001		1.845129																																																																													-1.845001						-0.000000											-0.000000																										0.000000																																												-0.001010	0.000881																			0.000000	
 1 	 15			0.000001		2.072922																																																																													-2.072781						-0.000000											-0.000000																										0.000000																																												-0.001013	0.000872																			0.000000	
 1 	 16			0.000001		2.164034																																																																													-2.163895						-0.000000											-0.000000																										0.000000																																												-0.001010	0.000870																			0.000000	
 1 	 17			0.000001		2.164023																																																																													-2.163895						-0.000000											-0.000000																										0.000000																																												-0.001003	0.000875																			0.000000	
 1 	 18			0.000001		1.594499																																																																													-1.594450						-0.000000											-0.000000																										0.000000																																												-0.000973	0.000923																			0.000000	
 1 	 19			0.000001		1.134143																																																																													-1.134198						-0.000000											-0.000000																										0.000000																																												-0.000932	0.000987																			0.000000	
 1 	 20			0.000001		0.853888																																																																													-0.854042						-0.000000											-0.000000																										0.000000																																												-0.000895	0.001048																			0.000000	
 1 	 21			0.000001		0.568841																																																																													-0.569038						-0.000000											-0.000000																										0.000000																																												-0.000861	0.001057																			0.000000	
 1 	 22			0.000001		0.364275																																																																													-0.364494						-0.000000											-0.000000																										0.000000																																												-0.000873	0.001091																			0.000000	
 1 	 23			0.000001		0.227519																																																																													-0.227809						-0.000000											-0.000000																										0.000000																																												-0.000847	0.001136																			0.000000	
 1 	 24			0.000001		0.090720																																																																													-0.091124						-0.000000											-0.000000																										0.000000																																												-0.000778	0.001181																			0.000000	
 2 	 1			0.000000		0.056579																																																																													-0.056904						-0.000000											-0.000000																										0.000000																																												-0.000828	0.001153																			0.000000	
 2 	 2			0.000000		0.022601																																																																													-0.022781						-0.000000											-0.000000																										0.000000																																												-0.000874	0.001054																			0.000000	
 2 	 3			0.000000		0.011341																																																																													-0.011342						-0.000000											-0.000000																										0.000000																																												-0.000971	0.000972																			0.000000	
 2 	 4			0.000000		0.136682																																																																													-0.136685						-0.000000											-0.000000																										0.000000																																												-0.000965	0.000968																			0.000000	
 2 	 5			0.000000		0.364647																																																																													-0.364494						-0.000000											-0.000000																										0.000000																																												-0.001069	0.000916																			0.000000	
 2 	 6			0.000000		0.911425																																																																													-0.911236						-0.000000											-0.000000																										0.000000																																												-0.001065	0.000876																			0.000000	
 2 	 7			0.000000		1.765479																																																																													-1.765278						-0.000000											-0.000000																										0.000000																																												-0.001102	0.000901																			0.000000	
 2 	 8			0.000000		1.537663																																																																													-1.537498						-0.000000											-0.000000																										0.000000																																												-0.001065	0.000900																			0.000000	
 2 	 9			0.000000		1.423733																																																																													-1.423613						-0.000000											-0.000000																										0.000000																																												-0.001033	0.000913																			0.000000	
 2 	 10			0.000000		1.594539																																																																													-1.594450						-0.000000											-0.000000																										0.000000																																												-0.001013	0.000924																			0.000000	
 2 	 11			0.000000		1.822289																																																																													-1.822220						-0.000000											-0.000000																										0.000000																																												-0.000999	0.000930																			0.000000	
 2 	 12			0.000000		2.004509																																																																													-2.004448						-0.000000											-0.000000																										0.000000																																												-0.000991	0.000930																			0.000000	
