Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	1022.688838	506.174254	0.000000
CCGT_AMMONIA	0.000060	0.000029	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000149	0.000059	0.000000
PV_ROOFTOP	231.484249	63.223476	0.000000
PV_UTILITY	1426.031367	742.891467	0.000000
PT_POWER_BLOCK	0.000018	0.000022	0.000000
ST_POWER_BLOCK	23.027243	47.711553	0.000000
WIND_ONSHORE	2500.687346	884.570072	0.000000
WIND_OFFSHORE	0.000269	0.000062	0.000000
HYDRO_DAM	763.539548	114.200430	0.000000
HYDRO_RIVER	182.971201	54.732605	0.000000
TIDAL	0.000027	0.000049	0.000000
WAVE	0.000000	0.000000	0.000000
GEOTHERMAL	0.000295	0.000115	0.000000
IND_COGEN_GAS	0.000158	0.000199	0.000000
IND_COGEN_WOOD	0.000096	0.000068	0.000000
IND_COGEN_WASTE	0.000090	0.000065	0.000000
IND_BOILER_GAS	1.603113	0.399005	0.000000
IND_BOILER_WOOD	102.187927	25.388813	0.000000
IND_BOILER_OIL	0.000069	0.000018	0.000000
IND_BOILER_COAL	33.955871	8.436410	0.000000
IND_BOILER_WASTE	4.947429	1.229200	0.000000
IND_DIRECT_ELEC	181.697915	9.427074	0.000000
DHN_HP_ELEC	286.389477	179.869789	0.000000
DHN_COGEN_GAS	0.000181	0.000103	0.000000
DHN_COGEN_WOOD	0.000064	0.000046	0.000000
DHN_COGEN_WASTE	0.000076	0.000055	0.000000
DHN_COGEN_WET_BIOMASS	0.000054	0.000172	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000139	0.000084	0.000000
DHN_BOILER_GAS	0.000023	0.000006	0.000000
DHN_BOILER_WOOD	0.000038	0.000010	0.000000
DHN_BOILER_OIL	0.000018	0.000005	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000051	0.000001	0.000000
DEC_HP_ELEC	0.002769	0.001617	0.000000
DEC_THHP_GAS	1159.208893	519.983869	0.000000
DEC_COGEN_GAS	0.000127	0.000133	0.000000
DEC_COGEN_OIL	0.000104	0.000103	0.000000
DEC_ADVCOGEN_GAS	0.000225	0.000077	0.000000
DEC_ADVCOGEN_H2	0.000188	0.000051	0.000000
DEC_BOILER_GAS	0.000200	0.000075	0.000000
DEC_BOILER_WOOD	0.000184	0.000080	0.000000
DEC_BOILER_OIL	0.000103	0.000077	0.000000
DEC_SOLAR	0.001157	0.000212	0.000000
DEC_DIRECT_ELEC	94.060798	5.120433	0.000000
DEC_THHP_GAS_COLD	320.226037	160.724439	0.000000
DEC_ELEC_COLD	3367.083048	2200.114300	0.000000
IND_ELEC_COLD	56.075504	7.774658	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	0.000000
BUS_COACH_DIESEL	3900.060753	2751.312194	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	2013.675353	2174.109979	0.000000
CAR_GASOLINE	0.000442	0.000233	0.000000
CAR_DIESEL	0.000015	0.000007	0.000000
CAR_NG	0.000018	0.000009	0.000000
CAR_METHANOL	0.000015	0.000008	0.000000
CAR_HEV	0.000020	0.000014	0.000000
CAR_PHEV	0.000000	0.000000	0.000000
CAR_BEV	34549.442053	7344.382149	0.000000
CAR_FUEL_CELL	0.000015	0.000002	0.000000
TRAIN_FREIGHT	87.502019	52.351723	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
