Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																1.075267		0.000004															-0.000001																																																																							0.000004																								-0.000001																																															-0.004387	0.004797													-1.075683	
 1 	 2																1.075272		0.000004															-0.000001																																																																							0.000004																								-0.000001																																															-0.004390	0.004794													-1.075683	
 1 	 3																1.075298		0.000004															-0.000001																																																																							0.000005																								-0.000001																																															-0.004401	0.004779													-1.075683	
 1 	 4																1.075273		0.000004															-0.000001																																																																							0.000005																								-0.000001																																															-0.004390	0.004793													-1.075683	
 1 	 5																1.075260		0.000004															-0.000001																																																																							0.000004																								-0.000001																																															-0.004385	0.004801													-1.075683	
 1 	 6																1.075257		0.000004															-0.000001																																																																							0.000004																								-0.000001																																															-0.004383	0.004803													-1.075683	
 1 	 7																1.075255		0.000004															-0.000001																																																																							0.000005																								-0.000001																																															-0.004383	0.004804													-1.075683	
 1 	 8																1.075241		0.000004															-0.000001																																																																							0.000005																								-0.000001																																															-0.004376	0.004811													-1.075683	
 1 	 9																1.075230		0.000004															-0.000001																																																																							0.000005																								-0.000001																																															-0.004373	0.004819													-1.075683	
 1 	 10																1.075211		0.000004															-0.000001																																																																							0.000005																								-0.000001																																															-0.004362	0.004828													-1.075683	
 1 	 11																1.075161		0.000004															-0.000001																																																																							0.000005																								-0.000001																																															-0.004338	0.004853													-1.075683	
 1 	 12																1.075138		0.000004															-0.000001																																																																							0.000005																								-0.000001																																															-0.004327	0.004865													-1.075683	
 1 	 13																1.075143		0.000004															-0.000001																																																																							0.000005																								-0.000001																																															-0.004330	0.004862													-1.075683	
 1 	 14																1.075131		0.000004															-0.000001																																																																							0.000005																								-0.000001																																															-0.004324	0.004869													-1.075683	
 1 	 15																1.075299		0.000004															-0.000001																																																																							0.000005																								-0.000001																																															-0.004405	0.004782													-1.075683	
 1 	 16																1.075228		0.000004															-0.000001																																																																							0.000005																								-0.000001																																															-0.004371	0.004819													-1.075683	
 1 	 17																1.075263		0.000004															-0.000001																																																																							0.000005																								-0.000001																																															-0.004388	0.004801													-1.075683	
 1 	 18																1.075283		0.000004															-0.000001																																																																							0.000004																								-0.000001																																															-0.004396	0.004790													-1.075683	
 1 	 19																1.075291		0.000004															-0.000001																																																																							0.000004																								-0.000001																																															-0.004400	0.004785													-1.075683	
 1 	 20																1.075285		0.000004															-0.000001																																																																							0.000004																								-0.000001																																															-0.004397	0.004789													-1.075683	
 1 	 21																1.075289		0.000004															-0.000001																																																																							0.000004																								-0.000001																																															-0.004399	0.004786													-1.075683	
 1 	 22																1.075295		0.000004															-0.000001																																																																							0.000004																								-0.000001																																															-0.004402	0.004783													-1.075683	
 1 	 23																1.075301		0.000004															-0.000001																																																																							0.000004																								-0.000001																																															-0.004405	0.004780													-1.075683	
 1 	 24																1.075308		0.000004															-0.000001																																																																							0.000004																								-0.000001																																															-0.004408	0.004776													-1.075683	
 2 	 1																1.075655		0.000001															-0.000000																																																																							0.000005																								-0.000000																																															-0.004582	0.004605													-1.075683	
 2 	 2																1.075669		0.000001															-0.000000																																																																							0.000005																								-0.000000																																															-0.004589	0.004598													-1.075683	
 2 	 3																1.075682		0.000001															-0.000000																																																																							0.000005																								-0.000000																																															-0.004596	0.004592													-1.075683	
 2 	 4																1.075668		0.000001															-0.000000																																																																							0.000005																								-0.000000																																															-0.004589	0.004599													-1.075683	
 2 	 5																1.075676		0.000001															-0.000000																																																																							0.000005																								-0.000001																																															-0.004593	0.004595													-1.075683	
 2 	 6																1.075679		0.000001															-0.000000																																																																							0.000005																								-0.000001																																															-0.004594	0.004593													-1.075683	
 2 	 7																1.075707		0.000001															-0.000000																																																																							0.000005																								-0.000001																																															-0.004608	0.004579													-1.075683	
 2 	 8																1.075692		0.000001															-0.000000																																																																							0.000005																								-0.000001																																															-0.004600	0.004586													-1.075683	
 2 	 9																1.075736		0.000001															-0.000000																																																																							0.000005																								-0.000001																																															-0.004622	0.004564													-1.075683	
 2 	 10																1.075739		0.000001															-0.000000																																																																							0.000005																								-0.000001																																															-0.004624	0.004563													-1.075683	
 2 	 11																1.075733		0.000001															-0.000000																																																																							0.000005																								-0.000001																																															-0.004622	0.004566													-1.075683	
 2 	 12																1.075729		0.000001															-0.000000																																																																							0.000005																								-0.000001																																															-0.004621	0.004569													-1.075683	
 2 	 13																1.075709		0.000001															-0.000000																																																																							0.000005																								-0.000001																																															-0.004611	0.004580													-1.075683	
 2 	 14																1.075726		0.000001															-0.000000																																																																							0.000005																								-0.000001																																															-0.004619	0.004571													-1.075683	
 2 	 15																1.075784		0.000001															-0.000000																																																																							0.000005																								-0.000001																																															-0.004647	0.004541													-1.075683	
 2 	 16																1.075832		0.000001															-0.000000																																																																							0.000005																								-0.000001																																															-0.004671	0.004516													-1.075683	
