Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1							36.787280	0.000000																								-20.125020															-0.000003			-0.364703							-0.000004					-0.000003						-11.405812	-0.000001		-0.000001		-0.000010					-0.000001											-0.000000														-15.195888			-0.000003				-0.285235								-0.000008		0.000000	0.000001	1.664035	0.000001																																										-0.000154	8.925529																							0.000000	
 1 	 2							36.787280	0.000000																								-19.337745															-0.000003			-0.364702							-0.000004					-0.000003						-25.365831	-0.000001		-0.000001		-0.000010					-0.000001											-0.000000														-15.195888			-0.000003				-0.285217								-0.000008		0.000000	0.000001	1.664035	0.000001																																										-0.000154	22.098254																							0.000000	
 1 	 3							36.787280	0.000000																								-18.415164															-0.000003			-0.364702							-0.000004					-0.000003						-27.778935	-0.000001		-0.000001		-0.000010					-0.000001											-0.000000														-15.195888			-0.000003				-0.285196								-0.000008		0.000000	0.000001	1.664035	0.000001																																										-0.000154	23.588755																							0.000000	
 1 	 4							36.787280	0.000000																								-17.636097															-0.000003			-0.364701							-0.000004					-0.000003						-27.779003	-0.000001		-0.000001		-0.000010					-0.000001											-0.000000														-15.195888			-0.000003				-0.285166								-0.000008		0.000000	0.000001	1.664035	0.000001																																										-0.000154	22.809723																							0.000000	
 1 	 5							36.787280	0.000000																								-18.485854															-0.000003			-0.364701							-0.000004					-0.000003						-27.779025	-0.000001		-0.000001		-0.000010					-0.000001											-0.000000														-15.195888			-0.000003				-0.285128								-0.000008		0.000000	0.000001	1.664035	0.000001																																										-0.000153	23.659464																							0.000000	
 1 	 6							36.787280	0.000000																								-40.717100															-0.000003			-0.364700							-0.000004					-0.000003						-27.779035	-0.000001		-0.000001		-0.000010					-0.000001											-0.000000														-15.195888			-0.000003				-0.285047								-0.000008		0.000000	0.000001	1.664035	0.000001																																										-0.000151	45.890637																							0.000000	
 1 	 7							36.787280	0.000000																								-40.718207															-0.000003			-0.364699							-0.000004					-0.000003						-27.779042	-0.000001		-0.000001		-0.000010					-0.000001											-0.000000														-15.195888			-0.000003				-0.284990								-0.000008		0.000000	0.000001	1.664036	0.000001																																										-0.000150	45.891691																							0.000000	
 1 	 8							36.787280	0.000000																								-36.281756															-0.000003			-0.364698							-0.000004					-0.000003						-27.779046	-0.000001		-0.000001		-0.000009					-0.000001											-0.000000														-15.195888			-0.000003				-0.285100								-0.000008		0.000000	0.000001	1.664035	0.000001																																										-0.000148	41.455352																							0.000000	
 1 	 9							36.787280	0.000000																								-3.355098															-0.000003			-0.364697							-0.000004					-0.000003						-27.779049	-0.000001		-0.000001		-0.000009					-0.000001											-0.000000														-15.195888			-0.000003				-0.285184								-0.000008		0.000000	0.000001	1.664035	0.000001																																										-0.000144	8.528776																							0.000000	
 1 	 10							36.787280	0.000000																								-0.000019															-0.000003			-0.364695							-0.000004					-0.000003						-24.810262	-0.000001		-0.000001		-0.000009					-0.000001											-0.000000														-15.195888			-0.000003				-0.285329								-0.000008		0.000000	0.000001	1.664035	0.000001																																										-0.000138	2.205045																							0.000000	
 1 	 11							36.787280	0.000000																								-0.000008															-0.000003			-0.364693							-0.000004					-0.000003						-20.448307	-0.000001		-0.000001		-0.000009					-0.000001											-0.000000														-15.195888			-0.000003				-0.292425								-0.000008		0.000000	0.000001	1.664031	0.000001																																										-2.150106	0.000146																							0.000000	
 1 	 12							36.787280	0.000000																								-0.000006															-0.000002			-0.364700							-0.000004					-0.000003						-22.598342	-0.000001		-0.000001		-0.000008					-0.000001											-0.000000														-15.195888			-0.000003				-0.292358								-0.000008		0.000000	0.000001	1.664033	0.000001																																										-0.000264	0.000275																							0.000000	
 1 	 13							36.787280	0.000000																								-0.000006															-0.000002			-0.364232							-0.000004					-0.000003						-23.084364	-0.000001		-0.000001		-0.000008					-0.000001											-0.000000														-15.195888			-0.000003				-0.285804								-0.000008		0.000000	0.000001	1.664036	0.000001																																										-0.000131	0.479139																							0.000000	
 1 	 14							36.787280	0.000000																								-0.000006															-0.000002			-0.364205							-0.000004					-0.000003						-27.778927	-0.000001		-0.000001		-0.000008					-0.000001											-0.000000														-15.195888			-0.000003				-0.285190								-0.000008		0.000000	0.000001	1.664035	0.000001																																										-0.000135	5.173064																							0.000000	
 1 	 15							36.787280	0.000000																								-0.001474															-0.000003			-0.364693							-0.000004					-0.000003						-27.778996	-0.000001		-0.000001		-0.000008					-0.000001											-0.000000														-15.195888			-0.000003				-0.285214								-0.000008		0.000000	0.000001	1.664035	0.000001																																										-0.000143	5.175121																							0.000000	
 1 	 16							36.787280	0.000000																								-0.000034															-0.000003			-0.364695							-0.000004					-0.000003						-27.779022	-0.000001		-0.000001		-0.000008					-0.000001											-0.000000														-15.195888			-0.000003				-0.285209								-0.000008		0.000000	0.000001	1.664035	0.000001																																										-0.000138	5.173700																							0.000000	
