Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																																																																																		0.970703				0.970703																																																																																																							-1.941406	
 1 	 2																																																																																		0.388281				0.388281																																																																																																							-0.776562	
 1 	 3																																																																																		0.194141				0.194141																																																																																																							-0.388281	
 1 	 4																																																																																		2.329687				2.329687																																																																																																							-4.659374	
 1 	 5																																																																																		6.212499				6.212499																																																																																																							-12.424999	
 1 	 6																																																																																		15.531248				15.531248																																																																																																							-31.062497	
 1 	 7																																																																																		30.091794				30.091793																																																																																																							-60.183587	
 1 	 8																																																																																		26.208982				26.208981																																																																																																							-52.417963	
 1 	 9																																																																																		24.267576				24.267575																																																																																																							-48.535151	
 1 	 10																																																																																		27.179685				27.179684																																																																																																							-54.359369	
 1 	 11																																																																																		31.062497				31.062496																																																																																																							-62.124993	
 1 	 12																																																																																		34.168746				34.168746																																																																																																							-68.337492	
 1 	 13																																																																																		31.062497				31.062496																																																																																																							-62.124993	
 1 	 14																																																																																		31.450778				31.450778																																																																																																							-62.901555	
 1 	 15																																																																																		35.333590				35.333590																																																																																																							-70.667180	
 1 	 16																																																																																		36.886715				36.886714																																																																																																							-73.773429	
 1 	 17																																																																																		36.886715				36.886714																																																																																																							-73.773429	
 1 	 18																																																																																		27.179685				27.179684																																																																																																							-54.359369	
 1 	 19																																																																																		19.414060				19.414060																																																																																																							-38.828121	
 1 	 20																																																																																		14.560545				14.560545																																																																																																							-29.121090	
 1 	 21																																																																																		9.707030				9.707030																																																																																																							-19.414060	
 1 	 22																																																																																		6.212499				6.212499																																																																																																							-12.424999	
 1 	 23																																																																																		3.882812				3.882812																																																																																																							-7.765624	
 1 	 24																																																																																		1.553125				1.553125																																																																																																							-3.106250	
 2 	 1																																																																																		0.970703				0.970703																																																																																																							-1.941406	
 2 	 2																																																																																		0.388281				0.388281																																																																																																							-0.776562	
 2 	 3																																																																																		0.194141				0.194141																																																																																																							-0.388281	
 2 	 4																																																																																		2.329687				2.329687																																																																																																							-4.659374	
 2 	 5																																																																																		6.212499				6.212499																																																																																																							-12.424999	
 2 	 6																																																																																		15.531248				15.531248																																																																																																							-31.062497	
 2 	 7																																																																																		30.091794				30.091793																																																																																																							-60.183587	
 2 	 8																																																																																		26.208982				26.208981																																																																																																							-52.417963	
 2 	 9																																																																																		24.267576				24.267575																																																																																																							-48.535151	
 2 	 10																																																																																		27.179685				27.179684																																																																																																							-54.359369	
 2 	 11																																																																																		31.062497				31.062496																																																																																																							-62.124993	
 2 	 12																																																																																		34.168746				34.168746																																																																																																							-68.337492	
 2 	 13																																																																																		31.062497				31.062496																																																																																																							-62.124993	
 2 	 14																																																																																		31.450778				31.450778																																																																																																							-62.901555	
 2 	 15																																																																																		35.333590				35.333590																																																																																																							-70.667180	
 2 	 16																																																																																		36.886715				36.886714																																																																																																							-73.773429	
 2 	 17																																																																																		36.886715				36.886714																																																																																																							-73.773429	
 2 	 18																																																																																		27.179685				27.179684																																																																																																							-54.359369	
 2 	 19																																																																																		19.414060				19.414060																																																																																																							-38.828121	
 2 	 20																																																																																		14.560545				14.560545																																																																																																							-29.121090	
 2 	 21																																																																																		9.707030				9.707030																																																																																																							-19.414060	
 2 	 22																																																																																		6.212499				6.212499																																																																																																							-12.424999	
 2 	 23																																																																																		3.882812				3.882812																																																																																																							-7.765624	
 2 	 24																																																																																		1.553125				1.553125																																																																																																							-3.106250	
 3 	 1																																																																																		0.970703				0.970703																																																																																																							-1.941406	
 3 	 2																																																																																		0.388281				0.388281																																																																																																							-0.776562	
 3 	 3																																																																																		0.194141				0.194141																																																																																																							-0.388281	
 3 	 4																																																																																		2.329687				2.329687																																																																																																							-4.659374	
 3 	 5																																																																																		6.212499				6.212499																																																																																																							-12.424999	
 3 	 6																																																																																		15.531248				15.531248																																																																																																							-31.062497	
 3 	 7																																																																																		30.091794				30.091793																																																																																																							-60.183587	
 3 	 8																																																																																		26.208982				26.208981																																																																																																							-52.417963	
 3 	 9																																																																																		24.267576				24.267575																																																																																																							-48.535151	
 3 	 10																																																																																		27.179685				27.179684																																																																																																							-54.359369	
 3 	 11																																																																																		31.062497				31.062496																																																																																																							-62.124993	
 3 	 12																																																																																		34.168746				34.168746																																																																																																							-68.337492	
 3 	 13																																																																																		31.062497				31.062496																																																																																																							-62.124993	
 3 	 14																																																																																		31.450778				31.450778																																																																																																							-62.901555	
 3 	 15																																																																																		35.333590				35.333590																																																																																																							-70.667180	
 3 	 16																																																																																		36.886715				36.886714																																																																																																							-73.773429	
 3 	 17																																																																																		36.886715				36.886714																																																																																																							-73.773429	
 3 	 18																																																																																		27.179685				27.179684																																																																																																							-54.359369	
 3 	 19																																																																																		19.414060				19.414060																																																																																																							-38.828121	
 3 	 20																																																																																		14.560545				14.560545																																																																																																							-29.121090	
