Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																								3.886892																		-2.930951	-0.955941	-0.000000																																																																																																																																																	0.000000	
 1 	 2																								2.089115																		-1.194969	-0.894147	-0.000000																																																																																																																																																	0.000000	
 1 	 3																								1.869018																		-1.002960	-0.866058	-0.000000																																																																																																																																																	0.000000	
 1 	 4																								1.629914																		-0.792881	-0.837033	-0.000000																																																																																																																																																	0.000000	
 1 	 5																								1.737599																		-0.902438	-0.835161	-0.000000																																																																																																																																																	0.000000	
 1 	 6																								1.777576																		-0.955523	-0.822053	-0.000000																																																																																																																																																	0.000000	
 1 	 7																								1.782064																		-0.954394	-0.827671	-0.000000																																																																																																																																																	0.000000	
 1 	 8																								2.330522																		-1.451356	-0.879166	-0.000000																																																																																																																																																	0.000000	
 1 	 9																								2.274838																		-1.366647	-0.908191	-0.000000																																																																																																																																																	0.000000	
 1 	 10																								2.802177																		-1.871516	-0.930661	-0.000000																																																																																																																																																	0.000000	
 1 	 11																								3.955565																		-2.993071	-0.962494	-0.000000																																																																																																																																																	0.000000	
 1 	 12																								3.841742																		-2.891419	-0.950322	-0.000000																																																																																																																																																	0.000000	
 1 	 13																								3.655633																		-2.717483	-0.938151	-0.000000																																																																																																																																																	0.000000	
 1 	 14																								3.411492																		-2.439635	-0.971857	-0.000000																																																																																																																																																	0.000000	
 1 	 15																								3.637608																		-2.672304	-0.965304	-0.000000																																																																																																																																																	0.000000	
 1 	 16																								3.084751																		-2.122257	-0.962495	-0.000000																																																																																																																																																	0.000000	
 1 	 17																								2.849273																		-1.889587	-0.959686	-0.000000																																																																																																																																																	0.000000	
 1 	 18																								3.880873																		-2.890290	-0.990583	-0.000000																																																																																																																																																	0.000000	
 1 	 19																								6.221668																		-5.157119	-1.064550	-0.000000																																																																																																																																																	0.000000	
 1 	 20																								6.657166																		-5.502734	-1.154432	-0.000000																																																																																																																																																	0.000000	
 1 	 21																								7.215373																		-6.073112	-1.142261	-0.000000																																																																																																																																																	0.000000	
 1 	 22																								8.020543																		-6.959739	-1.060804	-0.000000																																																																																																																																																	0.000000	
 1 	 23																								8.495795																		-7.351662	-1.144133	-0.000000																																																																																																																																																	0.000000	
 1 	 24																								6.309573																		-5.244087	-1.065486	-0.000000																																																																																																																																																	0.000000	
 2 	 1																								4.842614																		-3.674137	-1.168477	-0.000000																																																																																																																																																	0.000000	
 2 	 2																								4.113115																		-3.005496	-1.107619	-0.000000																																																																																																																																																	0.000000	
 2 	 3																								4.392805																		-3.277696	-1.115109	-0.000000																																																																																																																																																	0.000000	
 2 	 4																								4.279326																		-3.063098	-1.216227	-0.000000																																																																																																																																																	0.000000	
 2 	 5																								4.376192																		-3.180562	-1.195629	-0.000000																																																																																																																																																	0.000000	
 2 	 6																								4.549713																		-3.346593	-1.203120	-0.000000																																																																																																																																																	0.000000	
 2 	 7																								4.976902																		-3.785954	-1.190948	-0.000000																																																																																																																																																	0.000000	
 2 	 8																								6.058227																		-4.842000	-1.216227	-0.000000																																																																																																																																																	0.000000	
 2 	 9																								7.609186																		-6.361125	-1.248061	-0.000000																																																																																																																																																	0.000000	
 2 	 10																								8.518566																		-7.265824	-1.252742	-0.000000																																																																																																																																																	0.000000	
 2 	 11																								8.925871																		-7.627252	-1.298620	-0.000000																																																																																																																																																	0.000000	
 2 	 12																								8.806431																		-7.525600	-1.280831	-0.000000																																																																																																																																																	0.000000	
 2 	 13																								8.562140																		-7.290672	-1.271468	-0.000000																																																																																																																																																	0.000000	
 2 	 14																								7.798518																		-6.614125	-1.184394	-0.000000																																																																																																																																																	0.000000	
 2 	 15																								6.927273																		-5.768158	-1.159114	-0.000000																																																																																																																																																	0.000000	
 2 	 16																								6.647361																		-5.418025	-1.229335	-0.000000																																																																																																																																																	0.000000	
 2 	 17																								6.608408																		-5.453038	-1.155369	-0.000000																																																																																																																																																	0.000000	
 2 	 18																								6.734374																		-5.477887	-1.256488	-0.000000																																																																																																																																																	0.000000	
 2 	 19																								7.841707																		-6.565558	-1.276149	-0.000000																																																																																																																																																	0.000000	
 2 	 20																								8.363043																		-7.068168	-1.294875	-0.000000																																																																																																																																																	0.000000	
 2 	 21																								8.737816																		-7.474774	-1.263041	-0.000000																																																																																																																																																	0.000000	
 2 	 22																								8.554026																		-7.243235	-1.310792	-0.000000																																																																																																																																																	0.000000	
 2 	 23																								8.066797																		-6.781285	-1.285512	-0.000000																																																																																																																																																	0.000000	
 2 	 24																								6.962198																		-5.715074	-1.247125	-0.000000																																																																																																																																																	0.000000	
 3 	 1																								4.975596																		-3.679785	-1.295811	-0.000000																																																																																																																																																	0.000000	
 3 	 2																								4.405514																		-3.165880	-1.239635	-0.000000																																																																																																																																																	0.000000	
