Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																						20.974767																		-20.974767	-0.000000																																																																																																																																																				0.000000	
 1 	 2																						21.829539																		-21.829539	-0.000000																																																																																																																																																				0.000000	
 1 	 3																						23.161009																		-23.161009	-0.000000																																																																																																																																																				0.000000	
 1 	 4																						24.706172																		-24.706172	-0.000000																																																																																																																																																				0.000000	
 1 	 5																						25.758198																		-25.758198	-0.000000																																																																																																																																																				0.000000	
 1 	 6																						25.708885																		-25.708884	-0.000000																																																																																																																																																				0.000000	
 1 	 7																						25.297937																		-25.297937	-0.000000																																																																																																																																																				0.000000	
 1 	 8																						24.097970																		-24.097970	-0.000000																																																																																																																																																				0.000000	
 1 	 9																						19.462480																		-19.462480	-0.000000																																																																																																																																																				0.000000	
 1 	 10																						11.227089																		-11.227088	-0.000000																																																																																																																																																				0.000000	
 1 	 11																						9.172350																		-9.172350	-0.000000																																																																																																																																																				0.000000	
 1 	 12																						9.090160																		-9.090160	-0.000000																																																																																																																																																				0.000000	
 1 	 13																						9.714801																		-9.714800	-0.000000																																																																																																																																																				0.000000	
 1 	 14																						10.931206																		-10.931205	-0.000000																																																																																																																																																				0.000000	
 1 	 15																						11.753102																		-11.753102	-0.000000																																																																																																																																																				0.000000	
 1 	 16																						11.144899																		-11.144899	-0.000000																																																																																																																																																				0.000000	
 1 	 17																						13.084572																		-13.084572	-0.000000																																																																																																																																																				0.000000	
 1 	 18																						14.942056																		-14.942056	-0.000000																																																																																																																																																				0.000000	
 1 	 19																						15.122873																		-15.122873	-0.000000																																																																																																																																																				0.000000	
 1 	 20																						15.747514																		-15.747513	-0.000000																																																																																																																																																				0.000000	
 1 	 21																						16.109148																		-16.109147	-0.000000																																																																																																																																																				0.000000	
 1 	 22																						15.731076																		-15.731075	-0.000000																																																																																																																																																				0.000000	
 1 	 23																						15.024246																		-15.024245	-0.000000																																																																																																																																																				0.000000	
 1 	 24																						14.531108																		-14.531108	-0.000000																																																																																																																																																				0.000000	
 2 	 1																						33.878525																		-33.878524	-0.000000																																																																																																																																																				0.000000	
 2 	 2																						32.596368																		-32.596368	-0.000000																																																																																																																																																				0.000000	
 2 	 3																						30.952577																		-30.952577	-0.000000																																																																																																																																																				0.000000	
 2 	 4																						28.799212																		-28.799211	-0.000000																																																																																																																																																				0.000000	
 2 	 5																						27.106107																		-27.106107	-0.000000																																																																																																																																																				0.000000	
 2 	 6																						26.432153																		-26.432153	-0.000000																																																																																																																																																				0.000000	
 2 	 7																						26.728035																		-26.728035	-0.000000																																																																																																																																																				0.000000	
 2 	 8																						26.892414																		-26.892414	-0.000000																																																																																																																																																				0.000000	
 2 	 9																						23.884278																		-23.884277	-0.000000																																																																																																																																																				0.000000	
 2 	 10																						21.862415																		-21.862415	-0.000000																																																																																																																																																				0.000000	
 2 	 11																						20.728199																		-20.728199	-0.000000																																																																																																																																																				0.000000	
 2 	 12																						20.448755																		-20.448755	-0.000000																																																																																																																																																				0.000000	
 2 	 13																						19.281663																		-19.281663	-0.000000																																																																																																																																																				0.000000	
 2 	 14																						17.325553																		-17.325553	-0.000000																																																																																																																																																				0.000000	
 2 	 15																						15.188625																		-15.188625	-0.000000																																																																																																																																																				0.000000	
 2 	 16																						13.544834																		-13.544834	-0.000000																																																																																																																																																				0.000000	
 2 	 17																						13.725651																		-13.725651	-0.000000																																																																																																																																																				0.000000	
 2 	 18																						16.585847																		-16.585847	-0.000000																																																																																																																																																				0.000000	
 2 	 19																						18.278951																		-18.278951	-0.000000																																																																																																																																																				0.000000	
 2 	 20																						17.983069																		-17.983069	-0.000000																																																																																																																																																				0.000000	
 2 	 21																						17.572122																		-17.572121	-0.000000																																																																																																																																																				0.000000	
 2 	 22																						17.177612																		-17.177612	-0.000000																																																																																																																																																				0.000000	
 2 	 23																						16.963919																		-16.963919	-0.000000																																																																																																																																																				0.000000	
 2 	 24																						16.783102																		-16.783102	-0.000000																																																																																																																																																				0.000000	
 3 	 1																						61.970907																		-61.970907	-0.000000																																																																																																																																																				0.000000	
 3 	 2																						60.622998																		-60.622998	-0.000000																																																																																																																																																				0.000000	
 3 	 3																						59.307966																		-59.307966	-0.000000																																																																																																																																																				0.000000	
 3 	 4																						55.625875																		-55.625875	-0.000000																																																																																																																																																				0.000000	
 3 	 5																						51.582150																		-51.582150	-0.000001																																																																																																																																																				0.000000	
 3 	 6																						47.949373																		-47.949372	-0.000001																																																																																																																																																				0.000000	
 3 	 7																						45.533001																		-45.533000	-0.000001																																																																																																																																																				0.000000	
 3 	 8																						40.453688																		-40.453687	-0.000001																																																																																																																																																				0.000000	
 3 	 9																						36.705845																		-36.705845	-0.000000																																																																																																																																																				0.000000	
 3 	 10																						44.020713																		-44.020713	-0.000000																																																																																																																																																				0.000000	
