Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1													0.002122																																				-0.000001					-0.002120					-0.000001																																																																																																																																		0.000000	
 1 	 2													0.003291																																				-0.000001					-0.003290					-0.000001																																																																																																																																		0.000000	
 1 	 3													0.006983																																				-0.000001					-0.006982					-0.000001																																																																																																																																		0.000000	
 1 	 4													14.991415																																				-0.000001					-14.991413					-0.000001																																																																																																																																		0.000000	
 1 	 5													17.632718																																				-0.000001					-17.632716					-0.000001																																																																																																																																		0.000000	
 1 	 6													17.634929																																				-0.000001					-17.634928					-0.000001																																																																																																																																		0.000000	
 1 	 7													17.635656																																				-0.000001					-17.635654					-0.000001																																																																																																																																		0.000000	
 1 	 8													17.636025																																				-0.000001					-17.636023					-0.000001																																																																																																																																		0.000000	
 1 	 9													17.636251																																				-0.000001					-17.636250					-0.000001																																																																																																																																		0.000000	
 1 	 10													17.636397																																				-0.000001					-17.636396					-0.000001																																																																																																																																		0.000000	
 1 	 11													10.408602																																				-0.000001					-10.408601					-0.000001																																																																																																																																		0.000000	
 1 	 12													2.671401																																				-0.000001					-2.671400					-0.000001																																																																																																																																		0.000000	
 1 	 13													17.227635																																				-0.000001					-17.227634					-0.000001																																																																																																																																		0.000000	
 1 	 14													17.632616																																				-0.000001					-17.632615					-0.000001																																																																																																																																		0.000000	
 1 	 15													17.634871																																				-0.000001					-17.634870					-0.000001																																																																																																																																		0.000000	
 1 	 16													17.635633																																				-0.000001					-17.635632					-0.000001																																																																																																																																		0.000000	
 1 	 17													17.636013																																				-0.000001					-17.636012					-0.000001																																																																																																																																		0.000000	
 1 	 18													17.636242																																				-0.000001					-17.636241					-0.000001																																																																																																																																		0.000000	
 1 	 19													17.636394																																				-0.000001					-17.636393					-0.000001																																																																																																																																		0.000000	
 1 	 20													17.636502																																				-0.000001					-17.636501					-0.000001																																																																																																																																		0.000000	
 1 	 21													17.636583																																				-0.000001					-17.636582					-0.000001																																																																																																																																		0.000000	
 1 	 22													17.636647																																				-0.000001					-17.636645					-0.000001																																																																																																																																		0.000000	
 1 	 23													17.636697																																				-0.000001					-17.636696					-0.000001																																																																																																																																		0.000000	
 1 	 24													17.636739																																				-0.000001					-17.636737					-0.000001																																																																																																																																		0.000000	
 2 	 1													0.000882																																				-0.000001					-0.000881					-0.000001																																																																																																																																		0.000000	
 2 	 2													0.001565																																				-0.000001					-0.001563					-0.000001																																																																																																																																		0.000000	
 2 	 3													0.830650																																				-0.000001					-0.830648					-0.000001																																																																																																																																		0.000000	
 2 	 4													17.635164																																				-0.000001					-17.635163					-0.000001																																																																																																																																		0.000000	
 2 	 5													17.636421																																				-0.000001					-17.636420					-0.000001																																																																																																																																		0.000000	
 2 	 6													17.636663																																				-0.000001					-17.636662					-0.000001																																																																																																																																		0.000000	
 2 	 7													17.636782																																				-0.000001					-17.636781					-0.000001																																																																																																																																		0.000000	
 2 	 8													17.636860																																				-0.000001					-17.636858					-0.000001																																																																																																																																		0.000000	
 2 	 9													17.636909																																				-0.000001					-17.636908					-0.000001																																																																																																																																		0.000000	
 2 	 10													17.636946																																				-0.000001					-17.636944					-0.000001																																																																																																																																		0.000000	
 2 	 11													0.000536																																				-0.000001					-0.000534					-0.000001																																																																																																																																		0.000000	
 2 	 12													0.000713																																				-0.000001					-0.000712					-0.000001																																																																																																																																		0.000000	
 2 	 13													0.001046																																				-0.000001					-0.001044					-0.000001																																																																																																																																		0.000000	
 2 	 14													0.001935																																				-0.000001					-0.001934					-0.000001																																																																																																																																		0.000000	
 2 	 15													4.575439																																				-0.000001					-4.575437					-0.000001																																																																																																																																		0.000000	
 2 	 16													17.635841																																				-0.000001					-17.635839					-0.000001																																																																																																																																		0.000000	
 2 	 17													17.636493																																				-0.000001					-17.636492					-0.000001																																																																																																																																		0.000000	
 2 	 18													17.636708																																				-0.000001					-17.636707					-0.000001																																																																																																																																		0.000000	
 2 	 19													17.636816																																				-0.000001					-17.636815					-0.000001																																																																																																																																		0.000000	
 2 	 20													17.636880																																				-0.000001					-17.636879					-0.000001																																																																																																																																		0.000000	
 2 	 21													17.636923																																				-0.000001					-17.636921					-0.000001																																																																																																																																		0.000000	
 2 	 22													17.636954																																				-0.000001					-17.636952					-0.000001																																																																																																																																		0.000000	
 2 	 23													17.636977																																				-0.000001					-17.636975					-0.000001																																																																																																																																		0.000000	
 2 	 24													17.636995																																				-0.000001					-17.636993					-0.000001																																																																																																																																		0.000000	
 3 	 1													17.637141																																				-0.000001					-17.637140					-0.000001																																																																																																																																		0.000000	
 3 	 2													17.637141																																				-0.000001					-17.637140					-0.000001																																																																																																																																		0.000000	
 3 	 3													17.637141																																				-0.000001					-17.637140					-0.000001																																																																																																																																		0.000000	
