Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																																																																														0.000004	0.000009																																																																																																										-0.000823	0.000810			0.000000	
 1 	 2																																																																														0.000004	0.000009																																																																																																										-0.000816	0.000803			0.000000	
 1 	 3																																																																														0.000004	0.000009																																																																																																										-0.000808	0.000795			0.000000	
 1 	 4																																																																														0.000004	0.000009																																																																																																										-0.000801	0.000788			0.000000	
 1 	 5																																																																														0.000004	0.000009																																																																																																										-0.000794	0.000781			0.000000	
 1 	 6																																																																														0.000004	0.000009																																																																																																										-0.000786	0.000773			0.000000	
 1 	 7																																																																														0.000004	0.000009																																																																																																										-0.000779	0.000766			0.000000	
 1 	 8																																																																														0.000004	0.000009																																																																																																										-0.000772	0.000758			0.000000	
 1 	 9																																																																														0.000004	0.000010																																																																																																										-0.000766	0.000751			0.000000	
 1 	 10																																																																														0.000004	0.000015																																																																																																										-0.000763	0.000744			0.000000	
 1 	 11																																																																														0.000004	0.000023																																																																																																										-0.000764	0.000737			0.000000	
 1 	 12																																																																														0.000004	0.000168																																																																																																										-0.000902	0.000729			0.000000	
 1 	 13																																																																														0.000004	0.000180																																																																																																										-0.000907	0.000722			0.000000	
 1 	 14																																																																														0.000004	0.000264																																																																																																										-0.000984	0.000715			0.000000	
 1 	 15																																																																														0.000004	0.000011																																																																																																										-0.000724	0.000709			0.000000	
 1 	 16																																																																														0.000004	0.000014																																																																																																										-0.000720	0.000702			0.000000	
 1 	 17																																																																														0.000004	0.000014																																																																																																										-0.000713	0.000695			0.000000	
 1 	 18																																																																														0.000004	0.000010																																																																																																										-0.000702	0.000688			0.000000	
 1 	 19																																																																														0.000004	0.000010																																																																																																										-0.000695	0.000681			0.000000	
 1 	 20																																																																														0.000004	0.000009																																																																																																										-0.000689	0.000675			0.000000	
 1 	 21																																																																														0.000004	0.000010																																																																																																										-0.000682	0.000668			0.000000	
 1 	 22																																																																														0.000004	0.000010																																																																																																										-0.000675	0.000662			0.000000	
 1 	 23																																																																														0.000004	0.000010																																																																																																										-0.000669	0.000655			0.000000	
 1 	 24																																																																														0.000004	0.000010																																																																																																										-0.000663	0.000649			0.000000	
 2 	 1																																																																														0.000001	0.000003																																																																																																										-0.015426	0.015422			0.000000	
 2 	 2																																																																														0.000001	0.000003																																																																																																										-0.015302	0.015298			0.000000	
 2 	 3																																																																														0.000001	0.000003																																																																																																										-0.015183	0.015179			0.000000	
 2 	 4																																																																														0.000001	0.000003																																																																																																										-0.015066	0.015062			0.000000	
 2 	 5																																																																														0.000001	0.000003																																																																																																										-0.014950	0.014946			0.000000	
 2 	 6																																																																														0.000001	0.000003																																																																																																										-0.014836	0.014832			0.000000	
 2 	 7																																																																														0.000001	0.000003																																																																																																										-0.014724	0.014720			0.000000	
 2 	 8																																																																														0.000001	0.000003																																																																																																										-0.014612	0.014608			0.000000	
 2 	 9																																																																														0.000001	0.000003																																																																																																										-0.014501	0.014498			0.000000	
 2 	 10																																																																														0.000001	0.000003																																																																																																										-0.014388	0.014384			0.000000	
 2 	 11																																																																														0.000001	0.000005																																																																																																										-0.014281	0.014275			0.000000	
 2 	 12																																																																														0.000001	0.000006																																																																																																										-0.014181	0.014174			0.000000	
 2 	 13																																																																														0.000001	0.000011																																																																																																										-0.014071	0.014059			0.000000	
 2 	 14																																																																														0.000001	0.000006																																																																																																										-0.013941	0.013935			0.000000	
 2 	 15																																																																														0.000001	0.000003																																																																																																										-0.013821	0.013817			0.000000	
 2 	 16																																																																														0.000001	0.000003																																																																																																										-0.013702	0.013698			0.000000	
 2 	 17																																																																														0.000001	0.000003																																																																																																										-0.013585	0.013581			0.000000	
 2 	 18																																																																														0.000001	0.000002																																																																																																										-0.013469	0.013465			0.000000	
 2 	 19																																																																														0.000001	0.000002																																																																																																										-0.013355	0.013351			0.000000	
 2 	 20																																																																														0.000001	0.000002																																																																																																										-0.013242	0.013239			0.000000	
 2 	 21																																																																														0.000001	0.000002																																																																																																										-0.013132	0.013129			0.000000	
 2 	 22																																																																														0.000001	0.000002																																																																																																										-0.013024	0.013021			0.000000	
 2 	 23																																																																														0.000001	0.000002																																																																																																										-0.012918	0.012915			0.000000	
 2 	 24																																																																														0.000001	0.000002																																																																																																										-0.011993	0.011989			0.000000	
 3 	 1																																																																														0.000001	0.000010																																																																																																										-0.000188	0.000176			0.000000	
 3 	 2																																																																														0.000001	0.000011																																																																																																										-0.000195	0.000183			0.000000	
 3 	 3																																																																														0.000001	0.000011																																																																																																										-0.000194	0.000181			0.000000	
 3 	 4																																																																														0.000001	0.000012																																																																																																										-0.000192	0.000179			0.000000	
 3 	 5																																																																														0.000001	0.000013																																																																																																										-0.000191	0.000177			0.000000	
 3 	 6																																																																														0.000001	0.000014																																																																																																										-0.000190	0.000175			0.000000	
